时间,币价,挖矿难度
"2016-09-30 00:00","13.22480297","76304363076684.3400000000",
"2016-10-01 00:00","13.17269611","76005234648818.6700000000",
"2016-10-02 00:00","13.19970989","81560785541694.7700000000",
"2016-10-03 00:00","13.45236683","86513687351610.4500000000",
"2016-10-04 00:00","13.27698708","80800228891787.5200000000",
"2016-10-05 00:00","13.03569317","83821398443637.2300000000",
"2016-10-06 00:00","12.85433292","69907877300573.9840000000",
"2016-10-07 00:00","12.66705894","76211065299683.7700000000",
"2016-10-08 00:00","12.21911621","84950653919290.9000000000",
"2016-10-09 00:00","12.05368328","86426737611392.7800000000",
"2016-10-10 00:00","11.75553703","89686038468289.6600000000",
"2016-10-11 00:00","11.78567982","84156427637319.4500000000",
"2016-10-12 00:00","11.93353081","82197610286997.0500000000",
"2016-10-13 00:00","11.9630022","91991159868762.4000000000",
"2016-10-14 00:00","11.93824577","95454493863866.2300000000",
"2016-10-15 00:00","11.98343563","95167930108960.7500000000",
"2016-10-16 00:00","11.9515667","92157415719447.6200000000",
"2016-10-17 00:00","12.0050087","92931573004157.3300000000",
"2016-10-18 00:00","12.58848763","92357987224807.6900000000",
"2016-10-19 00:00","12.02256203","92824518156323.8100000000",
"2016-10-20 00:00","12.098979","102155718327211.5000000000",
"2016-10-21 00:00","12.17536449","103793607749486.8600000000",
"2016-10-22 00:00","12.07148743","102340545721113.5200000000",
"2016-10-23 00:00","12.03603363","101691239939388.2300000000",
"2016-10-24 00:00","11.96895885","104668841926954.7500000000",
"2016-10-25 00:00","11.41400719","104783609727772.8400000000",
"2016-10-26 00:00","11.53199673","104658825475370.5600000000",
"2016-10-27 00:00","11.49969292","101735271147639.9000000000",
"2016-10-28 00:00","11.08507824","85036314589228.1200000000",
"2016-10-29 00:00","10.44459438","76369898449175.7800000000",
"2016-10-30 00:00","11.18276787","81664327622895.6700000000",
"2016-10-31 00:00","10.99822712","73350829771605.2000000000",
"2016-11-01 00:00","10.76613426","64719068491400.2800000000",
"2016-11-02 00:00","10.75260258","61514730699689.4140000000",
"2016-11-03 00:00","10.80099678","57159503514602.3000000000",
"2016-11-04 00:00","11.09069157","53005065702771.9140000000",
"2016-11-05 00:00","11.0025177","51646857812065.0400000000",
"2016-11-06 00:00","10.87350655","58599219756577.7300000000",
"2016-11-07 00:00","10.80883884","67264445718749.5550000000",
"2016-11-08 00:00","10.83365059","68500747666720.1900000000",
"2016-11-09 00:00","10.65554047","62531737964000.3200000000",
"2016-11-10 00:00","10.52449417","60581959748738.3750000000",
"2016-11-11 00:00","10.28994465","60465042409040.1300000000",
"2016-11-12 00:00","9.87795925","64651085122084.9400000000",
"2016-11-13 00:00","10.10153484","68109469050598.5860000000",
"2016-11-14 00:00","9.96647644","69609625808757.8050000000",
"2016-11-15 00:00","10.21750355","67942982634481.8500000000",
"2016-11-16 00:00","10.05912781","66530412520219.0500000000",
"2016-11-17 00:00","9.99117851","66438055411680.0860000000",
"2016-11-18 00:00","9.47615719","71949014865557.4000000000",
"2016-11-19 00:00","9.66276073","78335266346296.7500000000",
"2016-11-20 00:00","9.57928467","84449596012008.1000000000",
"2016-11-21 00:00","9.62081528","81077735124447.7700000000",
"2016-11-22 00:00","9.9057169","75589241102578.0300000000",
"2016-11-23 00:00","9.84361649","68111219919406.5600000000",
"2016-11-24 00:00","9.23167324","65986567593840.4700000000",
"2016-11-25 00:00","9.40205097","69017176974794.5700000000",
"2016-11-26 00:00","9.3281126","65524158428078.0000000000",
"2016-11-27 00:00","8.99847031","67649540618316.8800000000",
"2016-11-28 00:00","8.72482395","69010302114794.2800000000",
"2016-11-29 00:00","8.17411613","69284299604446.6700000000",
"2016-11-30 00:00","8.58754253","70310041002384.0600000000",
"2016-12-01 00:00","8.4525013","71265485462808.7200000000",
"2016-12-02 00:00","7.75996161","74252936273638.6200000000",
"2016-12-03 00:00","7.92134237","75672242806019.6100000000",
"2016-12-04 00:00","7.44367933","73600849613783.0200000000",
"2016-12-05 00:00","6.82166243","71207341778909.5600000000",
"2016-12-06 00:00","7.86892748","73643047177205.7200000000",
"2016-12-07 00:00","8.38148212","76369350674976.9400000000",
"2016-12-08 00:00","8.23051453","79280439330296.6600000000",
