时间,币价,平均算力
"2019-06-28 00:00","305.685128","174665284994230.0000000000",
"2019-06-29 00:00","297.731954","174493970011330.0000000000",
"2019-06-30 00:00","284.25052","172458371589090.0000000000",
"2019-07-01 00:00","284.91476","175181833107520.0000000000",
"2019-07-02 00:00","293.765331","169417809531000.0000000000",
"2019-07-03 00:00","293.61379","168942379734973.0000000000",
"2019-07-04 00:00","289.189791","169047079554160.0000000000",
"2019-07-05 00:00","293.440077","174357424821090.0000000000",
"2019-07-06 00:00","291.797265","171998334231100.0000000000",
"2019-07-07 00:00","305.465894","170718535039220.0000000000",
"2019-07-08 00:00","308.270219","174567349236170.0000000000",
"2019-07-09 00:00","287.863041","175220482829950.0000000000",
"2019-07-10 00:00","271.371568","179351975357530.0000000000",
"2019-07-11 00:00","269.472789","179299681760470.0000000000",
"2019-07-12 00:00","272.196206","178735067253030.0000000000",
"2019-07-13 00:00","239.807859","182078884964610.0000000000",
"2019-07-14 00:00","229.949112","180013771371010.0000000000",
"2019-07-15 00:00","222.146136","174832197421310.0000000000",
"2019-07-16 00:00","215.158092","179656303111050.0000000000",
"2019-07-17 00:00","223.837185","179785131906700.0000000000",
"2019-07-18 00:00","219.970908","173652922886670.0000000000",
"2019-07-19 00:00","228.522555","177846815118040.0000000000",
"2019-07-20 00:00","224.334508","173257467509360.0000000000",
"2019-07-21 00:00","218.338713","172775012115070.0000000000",
"2019-07-24 00:00","224.411863","175361036720630.0000000000",
"2019-07-25 00:00","220.416665","174397657700620.0000000000",
"2019-07-26 00:00","210.284966","179361369975017.0000000000",
"2019-07-27 00:00","214.261265","176418907649330.0000000000",
"2019-07-28 00:00","211.275162","175639703514840.0000000000",
"2019-07-29 00:00","213.80857","180314084858450.0000000000",
"2019-07-30 00:00","215.989517","174909981044280.0000000000",
"2019-07-31 00:00","213.988181","173218525918160.0000000000",
"2019-08-01 00:00","220.563601","176081457974040.0000000000",
"2019-08-02 00:00","222.494399","178406045894200.0000000000",
"2019-08-03 00:00","220.441708","139278807940910.0000000000",
"2019-08-04 00:00","230.320076","183235065358430.0000000000",
"2019-08-05 00:00","229.200377","182820539123630.0000000000",
"2019-08-06 00:00","223.880357","184301215737130.0000000000",
"2019-08-07 00:00","223.768844","182912626173270.0000000000",
"2019-08-08 00:00","211.6105","181123384858830.0000000000",
"2019-08-09 00:00","205.276508","186221814938670.0000000000",
"2019-08-10 00:00","211.33601","181705998541330.0000000000",
"2019-08-11 00:00","211.778739","184507505162890.0000000000",
"2019-08-12 00:00","206.359584","183967938902930.0000000000",
"2019-08-13 00:00","206.042685","182889813843570.0000000000",
"2019-08-14 00:00","184.654374","182814670127270.0000000000",
"2019-08-15 00:00","183.936404","182715976394990.0000000000",
"2019-08-16 00:00","185.277837","186566179246020.0000000000",
"2019-08-17 00:00","195.182812","179545555309830.0000000000",
"2019-08-18 00:00","200.744772","179943776618950.0000000000",
"2019-08-19 00:00","197.340342","178788871260560.0000000000",
"2019-08-20 00:00","184.866479","177552012615620.0000000000",
"2019-08-21 00:00","191.444291","171281108648430.0000000000",
"2019-08-22 00:00","191.931476","177586756836700.0000000000",
"2019-08-23 00:00","188.037839","173081431302640.0000000000",
"2019-08-24 00:00","189.136394","174760184289710.0000000000",
"2019-08-25 00:00","190.458195","177089067311170.0000000000",
"2019-08-26 00:00","188.067131","170421961393000.0000000000",
"2019-08-27 00:00","188.232301","173710909598240.0000000000",
"2019-08-28 00:00","168.909171","179206398412500.0000000000",
"2019-08-29 00:00","170.11828","180477054756160.0000000000",
"2019-08-30 00:00","169.93247","177972338566000.0000000000",
"2019-08-31 00:00","170.507929","176691751952400.0000000000",
"2019-09-01 00:00","173.713949","178599696087640.0000000000",
"2019-09-02 00:00","181.84137","179043118413750.0000000000",
"2019-09-03 00:00","177.35518","175082511941130.0000000000",
"2019-09-04 00:00","171.147639","178184196265510.0000000000",
"2019-09-05 00:00","175.819302","172713176322040.0000000000",
"2019-09-06 00:00","173.649796","181089445337280.0000000000",
"2019-09-07 00:00","180.274539","180474848469720.0000000000",
"2019-09-08 00:00","181.373282","177111848983390.0000000000",
"2019-09-09 00:00","179.528371","178394707594040.0000000000",
"2019-09-10 00:00","176.460445","179039349892750.0000000000",
"2019-09-11 00:00","179.712929","185531965644070.0000000000",
"2019-09-12 00:00","178.422907","181420535858150.0000000000",
"2019-09-13 00:00","184.276859","184800003738480.0000000000",
"2019-09-23 00:00","191.881675","191303010004080.0000000000",
"2019-09-24 00:00","168.706908","196677081016460.0000000000",
"2019-09-25 00:00","166.019013","197288622970790.0000000000",
"2019-09-27 00:00","170.661308","195696488270120.0000000000",
"2019-09-28 00:00","166.311168","194447165379690.0000000000",
"2019-09-29 00:00","177.572785","193284092404180.0000000000",
"2019-10-01 00:00","175.825473","188134520510740.0000000000",
"2019-10-02 00:00","172.861192","186874741041990.0000000000",
"2019-10-03 00:00","174.784992","188233584769460.0000000000",
"2019-10-05 00:00","173.866931","189703819594570.0000000000",
"2019-10-06 00:00","176.66559","187521079757500.0000000000",
"2019-10-11 00:00","183.286754","187120002983970.0000000000",
