时间,币价,链上交易量
"2018-02-09 00:00","883.86456299","5767353.0616066300",
"2018-02-10 00:00","860.4152832","3987962.5233081700",
"2018-02-11 00:00","814.66021729","4654053.8278484000",
"2018-02-12 00:00","868.70678711","6418599.7935890600",
"2018-02-13 00:00","845.25823975","4873418.1203021800",
"2018-02-14 00:00","923.5612793","5489918.2239291800",
"2018-02-15 00:00","936.97589111","4344807.0621237100",
"2018-02-16 00:00","944.20953369","4187372.9383039800",
"2018-02-17 00:00","974.11486816","4142414.7893946000",
"2018-02-18 00:00","923.92132568","3803350.4800778600",
"2018-02-19 00:00","943.86541748","4443040.6114750500",
"2018-02-20 00:00","895.3706665","4336150.4117387800",
"2018-02-21 00:00","849.97149658","5660138.9186666800",
"2018-02-22 00:00","812.84454346","3150657.3064833700",
"2018-02-23 00:00","864.18914795","2906262.7854790100",
"2018-02-24 00:00","840.51525879","1878841.5400051300",
"2018-02-25 00:00","844.81036377","2456759.6926520700",
"2018-02-26 00:00","869.31518555","1540681.9245820800",
"2018-02-27 00:00","878.26507568","1552470.8661286200",
"2018-02-28 00:00","855.19885254","1689562.5641699000",
"2018-03-01 00:00","872.1998291","1548029.4337542000",
"2018-03-02 00:00","856.85302734","1035912.9507942200",
"2018-03-03 00:00","857.22509766","1071985.0157705700",
"2018-03-04 00:00","866.67797852","1568084.4075385200",
"2018-03-05 00:00","853.6842041","1949504.7074990800",
"2018-03-06 00:00","816.95141602","1985648.2145579700",
"2018-03-07 00:00","752.83148193","1671358.1238639400",
"2018-03-08 00:00","704.59552002","1814702.0937001700",
"2018-03-09 00:00","728.9163208","1140058.7495370400",
"2018-03-10 00:00","686.88995361","1088700.7130985700",
"2018-03-11 00:00","723.33917236","1482782.6161573700",
"2018-03-12 00:00","699.83099365","2723735.9436058600",
"2018-03-13 00:00","690.82659912","1921955.7826657100",
"2018-03-14 00:00","614.29095459","1878190.7445894900",
"2018-03-15 00:00","611.30407715","1384930.8509027000",
"2018-03-16 00:00","601.66625977","1232352.6021618300",
"2018-03-17 00:00","552.7789917","2858874.7780188700",
"2018-03-18 00:00","538.64367676","2327030.9250205900",
"2018-03-19 00:00","556.72595215","1897636.6070766100",
"2018-03-20 00:00","557.17492676","1773248.3889053000",
"2018-03-21 00:00","561.73150635","1544672.1736180200",
"2018-03-22 00:00","539.70202637","2019079.0716425800",
"2018-03-23 00:00","539.61895752","1189694.0842560400",
"2018-03-24 00:00","526.43859863","987950.4615793900",
"2018-03-25 00:00","524.28692627","1951656.5637855300",
"2018-03-26 00:00","489.95123291","2482127.0880743100",
"2018-03-27 00:00","450.11608887","2459715.7559467600",
"2018-03-28 00:00","446.27914429","2564685.7860846900",
"2018-03-29 00:00","385.96838379","2318160.7132045100",
"2018-03-30 00:00","394.64483643","1493989.5060795800",
"2018-03-31 00:00","396.45709229","1252022.4171249700",
"2018-04-01 00:00","379.60650635","1423147.4023953900",
"2018-04-02 00:00","386.42462158","1665105.7667993700",
"2018-04-03 00:00","416.89306641","1566770.8437603300",
"2018-04-04 00:00","380.5428772","1293894.0043701700",
"2018-04-05 00:00","383.23168945","1314710.2986443700",
"2018-04-06 00:00","370.28515625","878940.8075484600",
"2018-04-07 00:00","385.3142395","1247738.7533694300",
"2018-04-08 00:00","400.50817871","1555854.0858868500",
"2018-04-09 00:00","398.52563477","1260858.1157404100",
"2018-04-10 00:00","414.24258423","1482551.8588732700",
"2018-04-11 00:00","430.54003906","2262209.4953690600",
"2018-04-12 00:00","492.9413147","2219857.8242774200",
"2018-04-13 00:00","492.73477173","967332.9839262400",
"2018-04-14 00:00","501.47833252","1167064.5562537300",
"2018-04-15 00:00","531.70196533","1392763.9067938600",
"2018-04-16 00:00","511.146698","1442565.3281997200",
"2018-04-17 00:00","502.89364624","1727895.7028083000",
"2018-04-18 00:00","524.78881836","1807333.9447101400",
"2018-04-19 00:00","567.88903809","2167845.9240139900",
"2018-04-20 00:00","615.71801758","1697036.5718689700",
"2018-04-21 00:00","605.39532471","1257041.7743673500",
"2018-04-22 00:00","621.8604126","3083265.0129403300",
"2018-04-23 00:00","642.54797363","2712408.0764361800",
