时间,币价,新增地址数
"2016-01-05 00:00","0.95017588","265.0000000000",
"2016-01-06 00:00","0.95085979","222.0000000000",
"2016-01-07 00:00","0.94200456","210.0000000000",
"2016-01-08 00:00","0.98678917","328.0000000000",
"2016-01-09 00:00","0.98683339","266.0000000000",
"2016-01-10 00:00","0.99923068","328.0000000000",
"2016-01-11 00:00","1.0615958","343.0000000000",
"2016-01-12 00:00","1.14100134","230.0000000000",
"2016-01-13 00:00","1.12520289","224.0000000000",
"2016-01-14 00:00","1.18958628","404.0000000000",
"2016-01-15 00:00","1.20801461","284.0000000000",
"2016-01-16 00:00","1.22029054","281.0000000000",
"2016-01-17 00:00","1.32746649","398.0000000000",
"2016-01-18 00:00","1.42633688","317.0000000000",
"2016-01-19 00:00","1.37139285","451.0000000000",
"2016-01-20 00:00","1.53181744","421.0000000000",
"2016-01-21 00:00","1.55356717","418.0000000000",
"2016-01-22 00:00","1.50126517","593.0000000000",
"2016-01-23 00:00","1.97266793","734.0000000000",
"2016-01-24 00:00","2.14119911","821.0000000000",
"2016-01-25 00:00","2.49927235","923.0000000000",
"2016-01-26 00:00","2.27637196","801.0000000000",
"2016-01-27 00:00","2.38854671","1009.0000000000",
"2016-01-28 00:00","2.52648711","975.0000000000",
"2016-01-29 00:00","2.49496174","991.0000000000",
"2016-01-30 00:00","2.44506311","898.0000000000",
"2016-01-31 00:00","2.30604291","691.0000000000",
"2016-02-01 00:00","2.21168852","696.0000000000",
"2016-02-02 00:00","2.43964028","678.0000000000",
"2016-02-03 00:00","2.52868819","609.0000000000",
"2016-02-04 00:00","2.57804036","816.0000000000",
"2016-02-05 00:00","2.53899145","539.0000000000",
"2016-02-06 00:00","2.53446054","527.0000000000",
"2016-02-07 00:00","2.96433783","672.0000000000",
"2016-02-08 00:00","3.17978644","755.0000000000",
"2016-02-09 00:00","4.04464245","1293.0000000000",
"2016-02-10 00:00","4.43626165","2323.0000000000",
"2016-02-11 00:00","6.01310158","1545.0000000000",
"2016-02-12 00:00","5.54697657","1413.0000000000",
"2016-02-13 00:00","5.38531876","1113.0000000000",
"2016-02-14 00:00","5.2397294","988.0000000000",
"2016-02-15 00:00","5.28835154","966.0000000000",
"2016-02-16 00:00","4.31529093","965.0000000000",
"2016-02-17 00:00","3.75724053","807.0000000000",
"2016-02-18 00:00","4.39913368","1380.0000000000",
"2016-02-19 00:00","4.73789215","661.0000000000",
"2016-02-20 00:00","4.34132528","1734.0000000000",
"2016-02-21 00:00","4.65361786","921.0000000000",
"2016-02-22 00:00","5.61650419","952.0000000000",
"2016-02-23 00:00","5.58620644","825.0000000000",
"2016-02-24 00:00","6.23647213","1010.0000000000",
"2016-02-25 00:00","6.1048007","1390.0000000000",
"2016-02-26 00:00","5.92166948","803.0000000000",
"2016-02-27 00:00","6.4258585","1374.0000000000",
"2016-02-28 00:00","6.46834803","1844.0000000000",
"2016-02-29 00:00","6.33699465","1868.0000000000",
"2016-03-01 00:00","7.65368795","2186.0000000000",
"2016-03-02 00:00","8.46539021","2290.0000000000",
"2016-03-03 00:00","9.29415035","2431.0000000000",
"2016-03-04 00:00","10.4059763","3117.0000000000",
"2016-03-05 00:00","11.00372696","2873.0000000000",
"2016-03-06 00:00","11.38289928","1885.0000000000",
"2016-03-07 00:00","9.55262756","2379.0000000000",
"2016-03-08 00:00","9.84720898","2395.0000000000",
"2016-03-09 00:00","11.89802456","2404.0000000000",
"2016-03-10 00:00","11.30498314","1502.0000000000",
"2016-03-11 00:00","11.08280182","1926.0000000000",
"2016-03-12 00:00","13.53334332","1939.0000000000",
"2016-03-13 00:00","14.47500515","2158.0000000000",
"2016-03-14 00:00","12.45259762","1845.0000000000",
"2016-03-15 00:00","13.01002026","1627.0000000000",
"2016-03-16 00:00","12.52089119","1680.0000000000",
"2016-03-17 00:00","11.08146954","1886.0000000000",
"2016-03-18 00:00","10.99812794","1254.0000000000",
"2016-03-19 00:00","10.53070736","1549.0000000000",
"2016-03-20 00:00","10.3197794","1738.0000000000",
"2016-03-21 00:00","11.86412048","2975.0000000000",
"2016-03-22 00:00","11.27481174","1537.0000000000",
"2016-03-23 00:00","12.41674995","2817.0000000000",
"2016-03-24 00:00","11.23501301","1585.0000000000",
"2016-03-25 00:00","10.74315929","2242.0000000000",
"2016-03-26 00:00","10.97396755","1115.0000000000",
"2016-03-27 00:00","10.4192009","2376.0000000000",
"2016-03-28 00:00","11.66560268","1887.0000000000",
"2016-03-29 00:00","11.6564436","3061.0000000000",
"2016-03-30 00:00","11.952878","2182.0000000000",
"2016-03-31 00:00","11.40353775","2072.0000000000",
"2016-04-01 00:00","11.66358757","1313.0000000000",
"2016-04-02 00:00","11.598876","1168.0000000000",
"2016-04-03 00:00","11.61833286","1945.0000000000",
"2016-04-04 00:00","11.15727425","1252.0000000000",
"2016-04-05 00:00","10.43812466","1678.0000000000",
"2016-04-06 00:00","10.68538189","1707.0000000000",
"2016-04-07 00:00","10.06968307","1366.0000000000",
"2016-04-08 00:00","9.71958637","1108.0000000000",
"2016-04-09 00:00","9.15061855","1252.0000000000",
"2016-04-10 00:00","8.93634224","1087.0000000000",
"2016-04-11 00:00","8.64378929","1429.0000000000",
"2016-04-12 00:00","7.44231272","1349.0000000000",
"2016-04-13 00:00","8.04442024","1107.0000000000",
"2016-04-14 00:00","8.38724041","962.0000000000",
"2016-04-15 00:00","8.24278069","798.0000000000",
"2016-04-16 00:00","8.60949898","886.0000000000",
"2016-04-17 00:00","9.30909824","1026.0000000000",
"2016-04-18 00:00","9.03599834","905.0000000000",
"2016-04-19 00:00","8.71487713","1093.0000000000",
"2016-04-20 00:00","8.46579361","2045.0000000000",
"2016-04-21 00:00","8.10217285","1075.0000000000",
"2016-04-22 00:00","7.82126379","1011.0000000000",
"2016-04-23 00:00","8.29479218","1238.0000000000",
"2016-04-24 00:00","8.00135231","1141.0000000000",
"2016-04-25 00:00","7.5543375","1207.0000000000",
"2016-04-26 00:00","7.39704084","1247.0000000000",
"2016-04-27 00:00","7.75997066","1173.0000000000",
"2016-04-28 00:00","7.17252827","1195.0000000000",
"2016-04-29 00:00","7.45728827","6065.0000000000",
"2016-04-30 00:00","8.81397915","2606.0000000000",
"2016-05-01 00:00","8.8465023","3989.0000000000",
"2016-05-02 00:00","10.16323185","1593.0000000000",
"2016-05-03 00:00","9.31127167","1689.0000000000",
"2016-05-04 00:00","9.41376877","1597.0000000000",
"2016-05-05 00:00","9.8261013","1513.0000000000",
"2016-05-06 00:00","9.34663868","1366.0000000000",
"2016-05-07 00:00","9.37050915","1709.0000000000",
"2016-05-08 00:00","9.48293018","1789.0000000000",
"2016-05-09 00:00","9.29773235","1594.0000000000",
"2016-05-10 00:00","9.36151505","2664.0000000000",
"2016-05-11 00:00","9.99627781","3201.0000000000",
