时间,前100持仓量,前50持仓量,前30持仓量,前10持仓量
"2019-08-31 00:00","34978249.23903914","26709542.14125822","21939326.45139523","12655195.529774027",
"2019-09-01 00:00","34988852.7650821","26717739.96352992","21928734.384379677","12647134.691451192",
"2019-09-02 00:00","35003483.0607831","26727479.22410472","21932406.665311716","12650219.187717665",
"2019-09-03 00:00","35183894.40961005","26941743.35970229","22121371.518951282","12840951.431115583",
"2019-09-04 00:00","35179234.213324256","26975239.718840476","22153067.733487062","12860807.662210464",
"2019-09-05 00:00","35179890.14260611","26972384.614258982","22156208.91247996","12864906.100336153",
"2019-09-06 00:00","35216302.50299864","27010566.34388446","22171985.548159227","12866632.233959876",
"2019-09-07 00:00","35015067.92742352","26805324.85889446","21985030.383843664","12666686.343700573",
"2019-09-08 00:00","35070043.976164855","26827563.824541498","22006469.19192533","12689467.48903237",
"2019-09-09 00:00","35136490.72327619","26891546.387158845","22055316.812841848","12729692.837896679",
"2019-09-10 00:00","35159368.69399374","26915158.55103144","22066138.03749847","12732980.911797222",
"2019-09-11 00:00","35121016.543154344","26880286.695708726","22053924.361260563","12716929.352012904",
"2019-09-12 00:00","35114551.72828141","26881026.653701898","22060878.141251467","12718793.950441232",
"2019-09-13 00:00","35485140.11545508","27273436.460538536","22437664.40543156","12719382.20992052",
"2019-09-14 00:00","35454558.17747771","27258750.41684402","22433288.04216156","12721640.264377933",
"2019-09-15 00:00","35466132.85176326","27284799.58781168","22441491.322934683","12727516.50474363",
"2019-09-16 00:00","35413881.98515384","27132028.530141503","22112157.72820746","12384736.217879398",
"2019-09-17 00:00","35428445.73429774","27146377.44900746","22144228.10658812","12452620.392130319",
"2019-09-18 00:00","35237824.55144034","27015833.06356456","22194593.275899712","12590734.682567863",
"2019-09-19 00:00","35265411.46997829","27044177.233141594","22215881.58497919","12590812.94929327",
"2019-09-20 00:00","35299161.21987598","27068650.809892263","22221963.30310541","12587267.60191263",
"2019-09-21 00:00","35250043.49154064","27034650.533381797","22220729.44995848","12583651.941688372",
"2019-09-22 00:00","35269741.221358106","27052236.709785406","22220787.41063925","12585153.169814127",
"2019-09-23 00:00","35259477.010531254","27043734.28771984","22220383.331951454","12586427.337800166",
"2019-09-24 00:00","35287353.22614787","27098096.321669277","22322334.970986724","12683459.030042142",
"2019-09-25 00:00","35365710.77933294","27139478.000226088","22375228.58373391","12746999.833302345",
"2019-09-26 00:00","35395649.67448327","27167960.958786584","22395548.91105093","12761435.382421903",
"2019-09-27 00:00","35410341.075120956","27157012.44423043","22300415.05443018","12716779.987967288",
"2019-09-28 00:00","35304673.37422747","27019069.20783539","22095478.171632253","12709295.475679614",
"2019-09-29 00:00","35310279.55032402","27023002.809262328","22091177.791972","12710697.630370684",
"2019-09-30 00:00","35353684.7897059","27050729.753228","22088572.156518225","12708638.68574111",
"2019-10-01 00:00","35308044.32552797","27013528.38835391","22088549.500816535","12702397.909575555",
"2019-10-02 00:00","35285949.61149773","26989739.636158872","22091004.737967044","12706579.883620603",
"2019-10-03 00:00","35303798.83080663","27006226.54272282","22094197.403200205","12709543.052095387",
"2019-10-04 00:00","35327108.66320254","27020494.165849123","22091131.897613242","12706222.712070217",
"2019-10-05 00:00","35322861.922180355","27021448.41163301","22091237.030819897","12705345.754803348",
"2019-10-06 00:00","35337531.98521537","27019991.190222014","22090690.923474003","12703472.884087954",
"2019-10-07 00:00","35380473.03669033","27062494.246466286","22080179.79532962","12692194.829104144",
"2019-10-08 00:00","35402291.44070602","27049821.59419057","22076915.74616002","12696859.688272262",
"2019-10-09 00:00","35368318.75134875","27015829.847180765","22027252.25081844","12694837.305228291",
"2019-10-10 00:00","35384085.84504311","27023871.815737225","22033371.97563814","12704105.788090948",
"2019-10-11 00:00","35397363.86218977","27036587.44351682","22041964.63699985","12705125.997364406",
"2019-10-12 00:00","35351996.217158146","27017525.728944443","22031218.291615777","12693755.153561126",
"2019-10-13 00:00","35365163.386726096","27033935.290459212","22028177.265195303","12692268.730140114",
"2019-10-14 00:00","35074133.048406735","26658609.133533504","21555867.689161655","12688408.57461106",
"2019-10-15 00:00","35089570.324720755","26680327.59640057","21558399.037928574","12691823.82928963",
"2019-10-16 00:00","35104099.04454262","26689998.655079395","21553608.98949384","12687988.534172745",
"2019-10-17 00:00","35137668.78088703","26722958.60240592","21555118.864716463","12684948.358148694",
"2019-10-18 00:00","35224064.97604254","26809353.407607738","21554271.077430144","12654388.54874428",
"2019-10-19 00:00","35175897.61159839","26759376.84270554","21488669.057075173","12612522.817814434",
"2019-10-20 00:00","35199152.89734958","26781743.88021376","21487914.888273403","12611381.105044365",
"2019-10-21 00:00","35227095.13614271","26790756.30216041","21489150.97155835","12613786.86044049",
"2019-10-22 00:00","35156374.50718451","26737297.39366927","21441563.533788186","12613938.001403257",
"2019-10-23 00:00","35179407.879114896","26758661.255027365","21446959.28049291","12612734.05569398",
"2019-10-24 00:00","34965129.17664036","26476880.65864382","21171062.905632462","12628926.4490563",
"2019-10-25 00:00","34944085.234496914","26470435.526644174","21177422.72278853","12628621.091223808",
"2019-10-26 00:00","35116416.99154479","26601515.024442967","21249973.49796453","12714620.178933736",
"2019-10-27 00:00","35139528.97289023","26628491.1554673","21253193.84739823","12717406.929648997",
"2019-10-28 00:00","35188538.53549261","26698788.897681795","21297048.589216623","12724078.318397138",
"2019-10-29 00:00","35042909.82177253","26513575.97964476","20989761.828057025","12312328.423166323",
"2019-10-30 00:00","35066602.73913153","26533910.826164797","21012231.549925987","12315099.452462997",
"2019-10-31 00:00","35041816.455944456","26523805.566555034","20992780.75301837","12315270.054420514",
"2019-11-01 00:00","35024114.62814714","26511946.007460263","20994733.565854743","12327279.719341945",
"2019-11-02 00:00","35040628.97654266","26528257.502106883","20998498.10623161","12338056.475611152",
"2019-11-03 00:00","35106964.50615347","26596405.176449176","21081111.239174195","12436577.978614222",
"2019-11-04 00:00","35142047.1059033","26635415.493912607","21111612.190225855","12442800.820290126",
"2019-11-05 00:00","35186182.87065339","26678710.178274978","21186983.860253908","12515877.957345825",
"2019-11-06 00:00","35184228.74222292","26678195.199599784","21242141.755927783","12541544.552363394",
"2019-11-07 00:00","35213987.55725625","26707598.986233316","21259940.476336762","12548600.240728226",
"2019-11-08 00:00","35124786.98743399","26632644.881964017","21212773.58970206","12553297.697517302",
"2019-11-09 00:00","35095293.8224523","26608538.983329352","21196914.3583015","12570458.026699094",
"2019-11-10 00:00","35105920.26004592","26620485.150993396","21193097.634212926","12572931.979807157",
"2019-11-11 00:00","35098688.70206735","26615489.448881656","21223290.993804842","12585646.16538252",
"2019-11-12 00:00","35042572.06421017","26563724.78610983","21231355.544943467","12602415.53593896",
"2019-11-13 00:00","35154586.06151945","26691682.21220426","21363489.54160575","12725128.526073122",
"2019-11-14 00:00","35231507.5724959","26799504.689754117","21463159.225429647","12814574.140699347",
"2019-11-15 00:00","35222565.739783175","26786533.376153022","21458297.59737245","12823415.814679693",
"2019-11-16 00:00","35211576.080574945","26775941.479898944","21441056.65954194","12796629.833556805",
"2019-11-17 00:00","35212847.68256763","26780804.451745715","21443825.181256652","12795025.763956092",
"2019-11-18 00:00","35215043.23093754","26780385.621170077","21455013.062513106","12789578.508363687",
"2019-11-19 00:00","35212189.64948471","26767336.148586042","21428757.315530337","12783021.284669686",
"2019-11-20 00:00","35223881.44959578","26774125.035008684","21451690.28688096","12806319.138645913",
"2019-11-21 00:00","35234226.043577485","26776877.78758393","21445455.27185724","12832960.013988962",
"2019-11-22 00:00","35156994.42063137","26677094.78057054","21373738.105993025","12879684.457456023",
"2019-11-23 00:00","35098790.34659154","26675817.899888154","21420330.32293798","12938991.632953027",
"2019-11-24 00:00","35170501.5817371","26690930.863830592","21428948.75119931","12942858.46294053",
"2019-11-25 00:00","35065797.74482408","26643267.14029274","21470081.41244763","12991875.542193307",
"2019-11-26 00:00","35117361.62256197","26685889.988698486","21487215.248274792","13024377.64448566",
"2019-11-27 00:00","35329365.804731674","26939054.984136224","21632108.38747703","13024161.610101808",
"2019-11-28 00:00","35348180.01716979","27007041.08812893","21807945.743170902","13067530.66890454",
"2019-11-29 00:00","35303657.93988002","26981106.509970713","21807881.660687156","13062101.262322385",
"2019-11-30 00:00","35307179.49466707","26981025.67800219","21791294.58840402","13048777.952099213",
"2019-12-01 00:00","35310492.12741383","26991255.838807225","21789401.058185633","13047942.412055517",
"2019-12-02 00:00","35321136.97350575","27005396.899393126","21815725.882754225","13073967.59712369",
"2019-12-03 00:00","35303935.7942477","27002181.376874063","21797671.995078932","13058107.651455587",
"2019-12-04 00:00","35331910.26592902","27003890.0902499","21797429.297685176","13057766.507438373",
"2019-12-05 00:00","35414251.5797638","27098343.444916595","21791248.0337128","13050640.170094192",
"2019-12-06 00:00","35440611.20534154","27087475.263228055","21782843.87546161","13041486.86348211",
"2019-12-07 00:00","35501989.93519339","27148853.174167413","21777846.71091348","13034359.724433724",
"2019-12-08 00:00","35510791.876002215","27157653.79543376","21781211.927693456","13067780.911803542",
"2019-12-09 00:00","35488974.52854814","27142182.300051466","21750860.66127775","13076348.772846412",
"2019-12-10 00:00","35573957.2635846","27276282.851066478","21959741.634532634","13136644.042212343",
"2019-12-11 00:00","35572305.41051218","27273319.66808627","21968159.99529794","13149987.417973785",
"2019-12-12 00:00","35623969.1808111","27332403.545863472","22002763.1515435","13153864.923319232",
"2019-12-13 00:00","35572005.23728597","27289850.818937812","22020926.535753943","13153433.287658665",
"2019-12-14 00:00","35610245.52721131","27306282.00041716","22028394.919329662","13155845.11175042",
"2019-12-15 00:00","35630003.44017722","27320723.091745134","22034531.44699975","13161686.07649498",
"2019-12-16 00:00","35624409.40116182","27314833.16533675","22036862.10788172","13163324.435879046",
"2019-12-17 00:00","35720503.52962873","27429824.927040655","22128585.117356878","13258848.792376064",
"2019-12-18 00:00","35592708.69644433","27193393.889578804","21930947.685436666","13207135.520206733",
"2019-12-19 00:00","35650489.32059797","27239228.383473273","22051046.145718113","13363730.400956573",
"2019-12-20 00:00","35653033.17697075","27244394.58231483","22150257.844670303","13465969.92964707",
"2019-12-21 00:00","35658887.543744504","27240225.45054709","22129968.78875708","13445428.244763538",
"2019-12-22 00:00","35696159.36503632","27276471.26656661","22133378.647783566","13443916.834787467",
"2019-12-23 00:00","35650709.744673334","27291830.04629963","22237489.471384116","13547612.606196286",
"2019-12-24 00:00","35643313.91744863","27240522.68356489","22218639.870841894","13629455.886937406",
