时间,币价,持仓量
"2021-01-10 00:00","982.4393117758","2934911.493774",
"2021-01-11 00:00","1056.7160969236","2934708.9525",
"2021-01-12 00:00","1070.9425932222","2934509.2639200003",
"2021-01-13 00:00","1209.3977564856","2934306.722646",
"2021-01-14 00:00","1141.3241689228","2934107.034066",
"2021-01-15 00:00","1273.4438532204","2934107.034066",
"2021-01-16 00:00","1241.8983550673","2934107.034066",
"2021-01-17 00:00","1244.0524191532","2933502.2629380003",
"2021-01-18 00:00","1414.9086282357","2933302.574358",
"2021-01-19 00:00","1274.6905693682","2933102.885778",
"2021-01-20 00:00","1192.69155439","2932900.3445039997",
"2021-01-21 00:00","1227.8727761015","2932700.655924",
"2021-01-22 00:00","1232.5244669142","2932700.655924",
"2021-01-23 00:00","1320.9298603196","2932700.655924",
"2021-01-24 00:00","1437.1901813618","2932095.884796",
"2021-01-25 00:00","1287.0565177238","2931896.196216",
"2021-01-26 00:00","1284.9299632141","2931696.507636",
"2021-01-27 00:00","1347.6153323506","2931493.9663620004",
"2021-01-28 00:00","1392.8982476337","2931294.277782",
"2021-01-29 00:00","1372.9584146632","2931294.277782",
"2021-01-30 00:00","1309.2167224016","2931294.277782",
"2021-01-31 00:00","1310.739275494","2930692.359348",
"2021-02-01 00:00","1425.2968675121","2955488.4578589997",
"2021-02-02 00:00","1594.1090231033","3002487.97898",
"2021-02-03 00:00","1580.8348134323","3015171.810168",
"2021-02-04 00:00","1736.8292919798","3036284.12622",
"2021-02-05 00:00","1675.6308154633","3036284.12622",
"2021-02-06 00:00","1544.0142688285","3036284.12622",
"2021-02-07 00:00","1732.3628505893","3039237.891579",
"2021-02-08 00:00","1745.0396623175","3051687.812342",
"2021-02-09 00:00","1703.5136415359","3073623.825194",
"2021-02-10 00:00","1797.0808966829","3126353.96993",
"2021-02-11 00:00","1787.8253119719","3128580.9556159996",
"2021-02-12 00:00","1818.2147744319","3128580.9556159996",
"2021-02-13 00:00","1796.2754511456","3128580.9556159996",
"2021-02-14 00:00","1806.3014627139","3128580.9556159996",
"2021-02-15 00:00","1779.300459196","3128628.735491",
"2021-02-16 00:00","1811.1655007356","3148724.185776",
"2021-02-17 00:00","1908.7664880507","3155746.813494",
"2021-02-18 00:00","1931.6234956341","3156060.9949800004",
"2021-02-19 00:00","1983.8821277444","3156060.9949800004",
"2021-02-20 00:00","1953.6844778627","3156060.9949800004",
"2021-02-21 00:00","1734.2344133063","3155458.1535",
"2021-02-22 00:00","1569.1907739781","3155358.755335",
"2021-02-23 00:00","1654.2170581017","3170880.107375",
"2021-02-24 00:00","1625.8372466732","3170718.057794",
"2021-02-25 00:00","1532.1690458523","3171465.707984",
"2021-02-26 00:00","1456.2018892702","3171465.707984",
"2021-02-27 00:00","1315.4904696685","3171465.707984",
"2021-02-28 00:00","1547.4860213532","3174813.2019960005",
"2021-03-01 00:00","1551.8920242113","3174596.464356",
"2021-03-02 00:00","1595.5591745772","3174445.341628",
"2021-03-03 00:00","1578.3851584145","3174865.225731",
"2021-03-04 00:00","1484.794239511","3174645.343204",
"2021-03-05 00:00","1543.502487925","3174645.343204",
"2021-03-06 00:00","1648.6477477616","3174645.343204",
"2021-03-07 00:00","1742.1255100706","3174031.8821860002",
"2021-03-08 00:00","1829.0426241835","3173815.0940759997",
"2021-03-09 00:00","1832.7914248711","3173595.208993",
"2021-03-10 00:00","1796.4470680953","3173378.420883",
"2021-03-11 00:00","1776.0897431878","3173161.632773",
"2021-03-12 00:00","1876.4513051429","3173161.632773",
"2021-03-13 00:00","1858.1651346224","3173161.632773",
"2021-03-14 00:00","1767.9222916894","3172511.268443",
"2021-03-15 00:00","1801.4211021202","3176958.18528",
"2021-03-16 00:00","1771.9700544804","3176741.07825",
"2021-03-17 00:00","1818.202114325","3176523.97122",
"2021-03-18 00:00","1821.7023984382","3176321.20173",
"2021-03-19 00:00","1854.9280492978","3176321.20173",
"2021-03-20 00:00","1789.2417825532","3176321.20173",
"2021-03-21 00:00","1780.5604601024","3175669.8777",
"2021-03-22 00:00","1701.8638348396","3175492.668965",
