时间,币价,发行量
"2019-03-25 00:00","135.03102752","103024993.7807300000",
"2019-03-26 00:00","135.46035286","103037940.3432300000",
"2019-03-27 00:00","140.98815754","103050718.3432300000",
"2019-03-28 00:00","139.41647756","103063486.2182300000",
"2019-03-29 00:00","142.49741712","103076260.3432300000",
"2019-03-30 00:00","142.09268062","103089125.4057300000",
"2019-03-31 00:00","141.51409411","103101996.9682300000",
"2019-04-01 00:00","141.83032435","103114745.0932300000",
"2019-04-02 00:00","163.96174182","103127449.9682300000",
"2019-04-03 00:00","161.45880133","103140297.0307300000",
"2019-04-04 00:00","158.05253782","103153180.5932300000",
"2019-04-05 00:00","165.51484595","103166110.9682300000",
"2019-04-06 00:00","165.94720802","103179089.9057300000",
"2019-04-07 00:00","174.53164738","103192002.9682300000",
"2019-04-08 00:00","180.25881539","103204892.0307300000",
"2019-04-09 00:00","176.11457453","103217832.9057300000",
"2019-04-10 00:00","163.7963","103230630.7182300000",
"2019-04-11 00:00","164.0234","103243498.7807300000",
"2019-04-12 00:00","163.8764","103256492.4057300000",
"2019-04-13 00:00","163.9254","103269365.5932300000",
"2019-04-14 00:00","166.0319","103282282.4682300000",
"2019-04-15 00:00","162.552617","103295130.0307300000",
"2019-04-16 00:00","166.152101","103307922.2807300000",
"2019-04-17 00:00","171.92948","103320763.9682300000",
"2019-04-18 00:00","172.988423","103333691.6557300000",
"2019-04-19 00:00","172.469599","103346464.4057300000",
"2019-04-20 00:00","167.648011","103359417.8432300000",
"2019-04-21 00:00","171.583045","103372305.5932300000",
"2019-04-22 00:00","174.031111","103384932.7182300000",
"2019-04-23 00:00","164.406387","103397747.2182300000",
"2019-04-24 00:00","164.233606","103410707.2182300000",
"2019-04-25 00:00","156.198933","103423644.9682300000",
"2019-04-26 00:00","158.124809","103436624.3432300000",
"2019-04-27 00:00","158.840244","103449433.0307300000",
"2019-04-28 00:00","154.652093","103462365.9682300000",
"2019-04-29 00:00","158.703391","103475220.4057300000",
"2019-04-30 00:00","160.97375","103488178.8432300000",
"2019-05-01 00:00","161.924961","103501091.0932300000",
"2019-05-02 00:00","168.216036","103513803.0932300000",
"2019-05-03 00:00","162.949426","103526891.7182300000",
"2019-05-04 00:00","163.673028","103539695.5932300000",
"2019-05-05 00:00","168.121627","103552445.2807300000",
