时间,币价,平均Gas价格
"2017-10-31 00:00","305.87939453","4696410803.5723000000",
"2017-11-01 00:00","291.69442749","5254690975.4329000000",
"2017-11-02 00:00","287.42855835","4709716168.5649000000",
"2017-11-03 00:00","305.71130371","4881357505.6774000000",
"2017-11-04 00:00","300.46865845","5008512525.6407000000",
"2017-11-05 00:00","296.26263428","5598622190.8855000000",
"2017-11-06 00:00","298.89205933","5470177097.5266000000",
"2017-11-07 00:00","294.65856934","4901661531.2640000000",
"2017-11-08 00:00","309.0697937","5186094439.8481000000",
"2017-11-09 00:00","320.88391113","5004431664.1546000000",
"2017-11-10 00:00","299.25253296","5200109125.0153000000",
"2017-11-11 00:00","314.6812439","5810111908.1928000000",
"2017-11-12 00:00","307.90823364","5028777825.8983000000",
"2017-11-13 00:00","316.71585083","4983051307.1403000000",
"2017-11-14 00:00","337.63098145","5868414736.2118000000",
"2017-11-15 00:00","333.35681152","4840265359.2857000000",
"2017-11-16 00:00","330.92422485","4519491045.7251000000",
"2017-11-17 00:00","332.394104","4081984040.6850000000",
"2017-11-18 00:00","347.61239624","4617283457.0124000000",
"2017-11-19 00:00","354.38577271","4988017691.8026000000",
"2017-11-20 00:00","366.72973633","5095116271.6973000000",
"2017-11-21 00:00","360.40063477","5432634723.5822000000",
"2017-11-22 00:00","380.65209961","5038737069.9919000000",
"2017-11-23 00:00","410.16558838","4889604781.4511000000",
"2017-11-24 00:00","474.91140747","4806677371.9428000000",
"2017-11-25 00:00","466.27633667","4956518390.7372000000",
"2017-11-26 00:00","471.33026123","4513825698.7938000000",
"2017-11-27 00:00","480.35513306","4696400963.1132000000",
"2017-11-28 00:00","472.90206909","5480889607.6113000000",
"2017-11-29 00:00","427.52328491","4967602224.9846000000",
"2017-11-30 00:00","447.11431885","4370043424.2990000000",
"2017-12-01 00:00","466.5397644","4127080160.4743000000",
"2017-12-02 00:00","463.4493103","4994493830.6746000000",
"2017-12-03 00:00","465.85339355","12294253487.2654000000",
"2017-12-04 00:00","470.20385742","20138257206.0891000000",
"2017-12-05 00:00","463.28088379","33288272538.3099000000",
"2017-12-06 00:00","428.58764648","43874487679.5968000000",
"2017-12-07 00:00","434.40774536","42067421123.0367000000",
"2017-12-08 00:00","456.03131104","37318592136.9126000000",
"2017-12-09 00:00","473.50195313","24728079543.1166000000",
"2017-12-10 00:00","441.72088623","14861806985.7843000000",
"2017-12-11 00:00","515.13641357","17899146255.5612000000",
"2017-12-12 00:00","651.43145752","14192895069.5556000000",
"2017-12-13 00:00","702.7668457","19341042689.8439000000",
"2017-12-14 00:00","695.81555176","14873906279.0802000000",
"2017-12-15 00:00","684.44830322","13337771735.6274000000",
"2017-12-16 00:00","696.20947266","9236346265.8962000000",
"2017-12-17 00:00","719.97515869","8987431528.3759000000",
"2017-12-18 00:00","794.64483643","15612215042.8266000000",
"2017-12-19 00:00","826.82305908","24860970884.6455000000",
"2017-12-20 00:00","819.08557129","25739188333.4214000000",
"2017-12-21 00:00","821.06335449","21594726478.8838000000",
"2017-12-22 00:00","674.86010742","10290967097.3234000000",
"2017-12-23 00:00","719.38726807","7587713877.6900000000",
"2017-12-24 00:00","694.14837646","4370843786.7086000000",
"2017-12-25 00:00","765.83428955","4393220456.2844000000",
"2017-12-26 00:00","773.83575439","5005343390.7747000000",
"2017-12-27 00:00","762.84216309","5593267299.2985000000",
"2017-12-28 00:00","737.02301025","8791698537.7802000000",
"2017-12-29 00:00","753.59210205","9196865956.0085000000",
"2017-12-30 00:00","717.25653076","6055536352.9458000000",
"2017-12-31 00:00","756.73260498","4928950674.2231000000",
"2018-01-01 00:00","772.64080811","9407831415.7671000000",
"2018-01-02 00:00","884.44439697","16006723358.2957000000",
"2018-01-03 00:00","962.71966553","22758769629.5418000000",
"2018-01-04 00:00","980.92175293","40412060206.4426000000",
"2018-01-05 00:00","997.71966553","42369223700.3789000000",
"2018-01-06 00:00","1041.67834473","31109313147.7187000000",
"2018-01-07 00:00","1153.16833496","33066458533.9257000000",
"2018-01-08 00:00","1148.52941895","46522296744.5068000000",
"2018-01-09 00:00","1299.73547363","47783050353.0707000000",
"2018-01-10 00:00","1255.82006836","37710473742.4656000000",
"2018-01-11 00:00","1154.93151855","27296024188.4067000000",
"2018-01-12 00:00","1273.2019043","28707019795.8150000000",
"2018-01-13 00:00","1396.41760254","22074883119.9687000000",
"2018-01-14 00:00","1366.7722168","29371130142.8864000000",
"2018-01-15 00:00","1291.91772461","26773704279.3975000000",
"2018-01-16 00:00","1053.69177246","25964556952.8869000000",
"2018-01-17 00:00","1014.25457764","24469209213.9452000000",
"2018-01-18 00:00","1036.28295898","17523078367.2086000000",
"2018-01-19 00:00","1039.10131836","11794432642.8076000000",
"2018-01-20 00:00","1155.15332031","9665473109.4124000000",
"2018-01-21 00:00","1049.58117676","7771371505.1396000000",
"2018-01-22 00:00","1003.26080322","9874053702.4630000000",
"2018-01-23 00:00","986.22924805","7424069976.5573000000",
"2018-01-24 00:00","1058.78198242","6029753420.6880000000",
"2018-01-25 00:00","1056.03320313","5834078189.1184000000",
"2018-01-26 00:00","1055.17150879","4829910209.6291000000",
"2018-01-27 00:00","1107.0670166","4881096818.6696000000",
"2018-01-28 00:00","1246.00585938","10533572313.1077000000",
"2018-01-29 00:00","1182.3605957","6840985055.2081000000",
"2018-01-30 00:00","1071.13110352","7884099773.8038000000",
"2018-01-31 00:00","1118.30627441","16227754934.8524000000",
"2018-02-01 00:00","1036.78674316","8594689428.2871000000",
"2018-02-02 00:00","915.78546143","5530206905.6968000000",
"2018-02-03 00:00","964.01947021","6086276062.2277000000",
"2018-02-04 00:00","834.68206787","5844119925.0101000000",
"2018-02-05 00:00","697.95056152","5939660278.9501000000",
"2018-02-06 00:00","793.12243652","4847349493.5616000000",
"2018-02-07 00:00","757.0682373","3455608656.0533000000",
"2018-02-08 00:00","817.80725098","4150789480.3270000000",
"2018-02-09 00:00","883.86456299","3991828993.6475000000",
"2018-02-10 00:00","860.4152832","3849490302.8118000000",
"2018-02-11 00:00","814.66021729","3994633212.3778000000",
"2018-02-12 00:00","868.70678711","4510508335.3856000000",
"2018-02-13 00:00","845.25823975","4441031872.2846000000",
"2018-02-14 00:00","923.5612793","4098967708.0857000000",
"2018-02-15 00:00","936.97589111","3788125779.1950000000",
"2018-02-16 00:00","944.20953369","4167768823.9607000000",
"2018-02-17 00:00","974.11486816","5419534291.2475000000",
"2018-02-18 00:00","923.92132568","4419985041.8810000000",
"2018-02-19 00:00","943.86541748","5824131272.4819000000",
"2018-02-20 00:00","895.3706665","6275878343.0138000000",
"2018-02-21 00:00","849.97149658","5240672576.5728000000",
"2018-02-22 00:00","812.84454346","5231083469.7113000000",
"2018-02-23 00:00","864.18914795","6054147195.8176000000",
"2018-02-24 00:00","840.51525879","5072384280.9385000000",
"2018-02-25 00:00","844.81036377","4917180709.9002000000",
"2018-02-26 00:00","869.31518555","4770728290.0194000000",
"2018-02-27 00:00","878.26507568","5674112991.6060000000",
"2018-02-28 00:00","855.19885254","4775979563.0284000000",
"2018-03-01 00:00","872.1998291","5634124808.0929000000",
"2018-03-02 00:00","856.85302734","4273689385.8699000000",
"2018-03-03 00:00","857.22509766","5224807724.5705000000",
"2018-03-04 00:00","866.67797852","4993359743.6245000000",
"2018-03-05 00:00","853.6842041","4302871998.0520000000",
"2018-03-06 00:00","816.95141602","4573219353.1474000000",
"2018-03-07 00:00","752.83148193","4381631664.6776000000",
"2018-03-08 00:00","704.59552002","4449960386.4235000000",
"2018-03-09 00:00","728.9163208","3715845939.2749000000",
"2018-03-10 00:00","686.88995361","3875987370.8848000000",
"2018-03-11 00:00","723.33917236","4621171217.6435000000",
"2018-03-12 00:00","699.83099365","4249793664.2358000000",
"2018-03-13 00:00","690.82659912","4004109441.0168000000",
"2018-03-14 00:00","614.29095459","4217389534.1105000000",
"2018-03-15 00:00","611.30407715","4427045513.8310000000",
"2018-03-16 00:00","601.66625977","4596921566.2391000000",
"2018-03-17 00:00","552.7789917","4155818405.8331000000",
"2018-03-18 00:00","538.64367676","4065119563.0388000000",
"2018-03-19 00:00","556.72595215","3912342654.6469000000",
"2018-03-20 00:00","557.17492676","3829902312.0981000000",
"2018-03-21 00:00","561.73150635","4523685252.4333000000",
"2018-03-22 00:00","539.70202637","4369300982.1309000000",
"2018-03-23 00:00","539.61895752","4477673733.7569000000",
"2018-03-24 00:00","526.43859863","4629139538.7596000000",
"2018-03-25 00:00","524.28692627","5870794392.5210000000",
"2018-03-26 00:00","489.95123291","6457025280.6738000000",
"2018-03-27 00:00","450.11608887","6455946210.7003000000",
"2018-03-28 00:00","446.27914429","6193394149.2855000000",
"2018-03-29 00:00","385.96838379","4358740203.7925000000",
"2018-03-30 00:00","394.64483643","3376588698.9843000000",
"2018-03-31 00:00","396.45709229","3349456516.3717000000",
"2018-04-01 00:00","379.60650635","3079863962.1715000000",
"2018-04-02 00:00","386.42462158","2903124548.7251000000",
