时间,币价,区块数
"2016-03-16 00:00","12.52089119","6082.0000000000",
"2016-03-17 00:00","11.08146954","5962.0000000000",
"2016-03-18 00:00","10.99812794","6082.0000000000",
"2016-03-19 00:00","10.53070736","6027.0000000000",
"2016-03-20 00:00","10.3197794","5994.0000000000",
"2016-03-21 00:00","11.86412048","6071.0000000000",
"2016-03-22 00:00","11.27481174","5974.0000000000",
"2016-03-23 00:00","12.41674995","6101.0000000000",
"2016-03-24 00:00","11.23501301","6066.0000000000",
"2016-03-25 00:00","10.74315929","6095.0000000000",
"2016-03-26 00:00","10.97396755","6046.0000000000",
"2016-03-27 00:00","10.4192009","5999.0000000000",
"2016-03-28 00:00","11.66560268","6010.0000000000",
"2016-03-29 00:00","11.6564436","6047.0000000000",
"2016-03-30 00:00","11.952878","6021.0000000000",
"2016-03-31 00:00","11.40353775","6081.0000000000",
"2016-04-01 00:00","11.66358757","5936.0000000000",
"2016-04-02 00:00","11.598876","6035.0000000000",
"2016-04-03 00:00","11.61833286","6086.0000000000",
"2016-04-04 00:00","11.15727425","6033.0000000000",
"2016-04-05 00:00","10.43812466","6004.0000000000",
"2016-04-06 00:00","10.68538189","5953.0000000000",
"2016-04-07 00:00","10.06968307","6102.0000000000",
"2016-04-08 00:00","9.71958637","5933.0000000000",
"2016-04-09 00:00","9.15061855","6065.0000000000",
"2016-04-10 00:00","8.93634224","5937.0000000000",
"2016-04-11 00:00","8.64378929","6015.0000000000",
"2016-04-12 00:00","7.44231272","6015.0000000000",
"2016-04-13 00:00","8.04442024","6021.0000000000",
"2016-04-14 00:00","8.38724041","6059.0000000000",
"2016-04-15 00:00","8.24278069","6019.0000000000",
"2016-04-16 00:00","8.60949898","6015.0000000000",
"2016-04-17 00:00","9.30909824","6055.0000000000",
"2016-04-18 00:00","9.03599834","5969.0000000000",
"2016-04-19 00:00","8.71487713","6050.0000000000",
"2016-04-20 00:00","8.46579361","5990.0000000000",
"2016-04-21 00:00","8.10217285","6031.0000000000",
"2016-04-22 00:00","7.82126379","6051.0000000000",
"2016-04-23 00:00","8.29479218","5981.0000000000",
"2016-04-24 00:00","8.00135231","6104.0000000000",
"2016-04-25 00:00","7.5543375","5952.0000000000",
"2016-04-26 00:00","7.39704084","6062.0000000000",
"2016-04-27 00:00","7.75997066","6030.0000000000",
"2016-04-28 00:00","7.17252827","6030.0000000000",
"2016-04-29 00:00","7.45728827","6058.0000000000",
"2016-04-30 00:00","8.81397915","5942.0000000000",
"2016-05-01 00:00","8.8465023","6080.0000000000",
"2016-05-02 00:00","10.16323185","6054.0000000000",
"2016-05-03 00:00","9.31127167","5980.0000000000",
"2016-05-04 00:00","9.41376877","6037.0000000000",
"2016-05-05 00:00","9.8261013","6022.0000000000",
"2016-05-06 00:00","9.34663868","5988.0000000000",
"2016-05-07 00:00","9.37050915","6051.0000000000",
"2016-05-08 00:00","9.48293018","6044.0000000000",
"2016-05-09 00:00","9.29773235","6012.0000000000",
"2016-05-10 00:00","9.36151505","5914.0000000000",
"2016-05-11 00:00","9.99627781","6099.0000000000",
"2016-05-12 00:00","10.05779934","6064.0000000000",
"2016-05-13 00:00","10.50657082","5958.0000000000",
"2016-05-14 00:00","10.23973179","6015.0000000000",
"2016-05-15 00:00","9.9623518","5961.0000000000",
"2016-05-16 00:00","11.17129898","6071.0000000000",
"2016-05-17 00:00","12.1987505","6063.0000000000",
"2016-05-18 00:00","13.55858231","6011.0000000000",
"2016-05-19 00:00","14.76970387","6037.0000000000",
"2016-05-20 00:00","13.63562298","5981.0000000000",
"2016-05-21 00:00","14.01504421","6084.0000000000",
"2016-05-22 00:00","14.28610992","6013.0000000000",
"2016-05-23 00:00","13.46151066","6010.0000000000",
"2016-05-24 00:00","12.73231983","6029.0000000000",
"2016-05-25 00:00","12.52603245","6019.0000000000",
"2016-05-26 00:00","12.43041801","6045.0000000000",
"2016-05-27 00:00","11.29575253","6019.0000000000",
"2016-05-28 00:00","11.89294243","6001.0000000000",
"2016-05-29 00:00","12.35042667","6007.0000000000",
