时间,币价,平均单笔手续费
"2016-04-06 00:00","10.68538189","0.0006713900",
"2016-04-07 00:00","10.06968307","0.0007400000",
"2016-04-08 00:00","9.71958637","0.0006264500",
"2016-04-09 00:00","9.15061855","0.0006032500",
"2016-04-10 00:00","8.93634224","0.0006151800",
"2016-04-11 00:00","8.64378929","0.0006606300",
"2016-04-12 00:00","7.44231272","0.0009144600",
"2016-04-13 00:00","8.04442024","0.0009122400",
"2016-04-14 00:00","8.38724041","0.0006687500",
"2016-04-15 00:00","8.24278069","0.0005650500",
"2016-04-16 00:00","8.60949898","0.0007513900",
"2016-04-17 00:00","9.30909824","0.0005997400",
"2016-04-18 00:00","9.03599834","0.0005856500",
"2016-04-19 00:00","8.71487713","0.0007239100",
"2016-04-20 00:00","8.46579361","0.0008171100",
"2016-04-21 00:00","8.10217285","0.0006495400",
"2016-04-22 00:00","7.82126379","0.0006127800",
"2016-04-23 00:00","8.29479218","0.0006604600",
"2016-04-24 00:00","8.00135231","0.0006735000",
"2016-04-25 00:00","7.5543375","0.0006647700",
"2016-04-26 00:00","7.39704084","0.0006041900",
"2016-04-27 00:00","7.75997066","0.0006591900",
"2016-04-28 00:00","7.17252827","0.0006277500",
"2016-04-29 00:00","7.45728827","0.0007024900",
"2016-04-30 00:00","8.81397915","0.0009273000",
"2016-05-01 00:00","8.8465023","0.0006569900",
"2016-05-02 00:00","10.16323185","0.0007096800",
"2016-05-03 00:00","9.31127167","0.0007289200",
"2016-05-04 00:00","9.41376877","0.0008043700",
"2016-05-05 00:00","9.8261013","0.0008522900",
"2016-05-06 00:00","9.34663868","0.0006755500",
"2016-05-07 00:00","9.37050915","0.0007213900",
"2016-05-08 00:00","9.48293018","0.0006831400",
"2016-05-09 00:00","9.29773235","0.0006808900",
"2016-05-10 00:00","9.36151505","0.0007749600",
"2016-05-11 00:00","9.99627781","0.0008724600",
"2016-05-12 00:00","10.05779934","0.0009047300",
"2016-05-13 00:00","10.50657082","0.0007749800",
"2016-05-14 00:00","10.23973179","0.0007267900",
"2016-05-15 00:00","9.9623518","0.0007374500",
"2016-05-16 00:00","11.17129898","0.0007062100",
"2016-05-17 00:00","12.1987505","0.0007618500",
"2016-05-18 00:00","13.55858231","0.0007444400",
