时间,币价,主力流入,主力流出,散户流入,散户流出,净量
"2021-02-14 08:00","1806.3014627139","3625266666.6666665","-3688725581.3953485","24719364341.08527","-25226883720.930233","-570978294.5736434",
"2021-02-15 08:00","1779.300459196","3422732093.023256","-3848407751.9379845","23050232558.139534","-24269193798.44961","-1644636899.224806",
"2021-02-16 08:00","1811.1655007356","3594826086.9565215","-3371234472.0496893","23203322981.36646","-22763618012.42236","663296583.8509316",
"2021-02-17 08:00","1908.7664880507","4129006230.529595","-3995895638.6292834","24242009345.79439","-24057274143.30218","317845794.39252335",
"2021-02-18 08:00","1931.6234956341","3686950155.76324","-3841440809.9688473","21033068535.825546","-21329345794.392525","-450767912.7725857",
"2021-02-19 08:00","1983.8821277444","3898198757.763975","-3925281055.900621","22939549689.440994","-23610885093.1677","-698417701.863354",
"2021-02-20 08:00","1953.6844778627","3182422839.5061727","-3648111111.1111107","22596435185.185184","-23190617283.950615","-1059870370.3703703",
"2021-02-21 08:00","1734.2344133063","3375818461.5384617","-3962976923.076923","30076769230.76923","-31382353846.153847","-1892743076.9230769",
"2021-02-22 08:00","1569.1907739781","2954714939.02439","-3177467987.804878","38222804878.04878","-39124466463.414635","-1124414634.1463416",
"2021-02-23 08:00","1654.2170581017","2353528787.878788","-2324696515.1515155","25906060606.060608","-25831878787.878788","103014090.90909092",
"2021-02-24 08:00","1625.8372466732","2047987347.5609758","-2266166158.5365853","19165091463.414635","-19295365853.65854","-348453201.2195122",
"2021-02-25 08:00","1532.1690458523","1973205359.8774884","-2083042572.7411945","23890566615.620213","-24261745788.667686","-481016385.9111791",
"2021-02-26 08:00","1456.2018892702","1592328723.4042554","-1671065957.4468086","17977325227.963524","-18664240121.580547","-765652127.6595745",
"2021-02-27 08:00","1315.4904696685","1474348024.3161094","-1588172796.3525836","20349255319.148937","-20722841945.288754","-487411398.17629176",
"2021-02-28 08:00","1547.4860213532","1595881969.6969697","-1532078939.3939395","19670106060.60606","-18908333333.333336","825575757.5757576",
"2021-03-01 08:00","1551.8920242113","1985629402.7565084","-1986831240.42879","18502128637.059723","-18506309341.500767","-5382542.113323124",
"2021-03-02 08:00","1595.5591745772","2185277182.2358346","-2173658499.234303","21594548238.897396","-21366738131.699844","239428790.19908115",
"2021-03-03 08:00","1578.3851584145","2124417177.9141107","-2225549079.7546015","19913726993.865032","-19888972392.63804","-76377300.61349694",
"2021-03-04 08:00","1484.794239511","1802686196.3190186","-1874170245.3987732","19528312883.435585","-19933420245.398773","-476591411.0429448",
"2021-03-05 08:00","1543.502487925","1904100763.3587787","-1923847328.2442749","17694519083.969467","-17529358778.625954","145413740.45801526",
"2021-03-06 08:00","1648.6477477616","2340597560.97561","-2390698170.7317076","19584146341.463417","-19905670731.707317","-371625000",
"2021-03-07 08:00","1742.1255100706","2918368501.529052","-2816230886.850153","22731957186.544342","-22645550458.715595","188544342.50764525",
"2021-03-08 08:00","1829.0426241835","3037831546.707504","-2876667687.595712","20959831546.707504","-20281087289.433384","839908116.3859111",
