时间,币价,每日叔块奖励
"2016-01-28 00:00","2.52648711","3063.3600000000",
"2016-01-29 00:00","2.49496174","2696.6400000000",
"2016-01-30 00:00","2.44506311","3109.8200000000",
"2016-01-31 00:00","2.30604291","2761.4200000000",
"2016-02-01 00:00","2.21168852","2283.2700000000",
"2016-02-02 00:00","2.43964028","2934.1500000000",
"2016-02-03 00:00","2.52868819","3061.3300000000",
"2016-02-04 00:00","2.57804036","3218.9600000000",
"2016-02-05 00:00","2.53899145","3387.8000000000",
"2016-02-06 00:00","2.53446054","3094.8400000000",
"2016-02-07 00:00","2.96433783","3756.1500000000",
"2016-02-08 00:00","3.17978644","3726.3800000000",
"2016-02-09 00:00","4.04464245","5548.5000000000",
"2016-02-10 00:00","4.43626165","6102.3600000000",
"2016-02-11 00:00","6.01310158","7906.1600000000",
"2016-02-12 00:00","5.54697657","6396.6100000000",
"2016-02-13 00:00","5.38531876","5997.8800000000",
"2016-02-14 00:00","5.2397294","7619.9700000000",
"2016-02-15 00:00","5.28835154","6669.6300000000",
"2016-02-16 00:00","4.31529093","5841.1500000000",
"2016-02-17 00:00","3.75724053","4217.0000000000",
"2016-02-18 00:00","4.39913368","6650.3200000000",
"2016-02-19 00:00","4.73789215","5502.0800000000",
"2016-02-20 00:00","4.34132528","5161.2300000000",
"2016-02-21 00:00","4.65361786","6247.8700000000",
"2016-02-22 00:00","5.61650419","7251.5500000000",
"2016-02-23 00:00","5.58620644","6858.1700000000",
"2016-02-24 00:00","6.23647213","7202.7700000000",
"2016-02-25 00:00","6.1048007","7896.8700000000",
"2016-02-26 00:00","5.92166948","7080.7800000000",
"2016-02-27 00:00","6.4258585","7830.9200000000",
"2016-02-28 00:00","6.46834803","7065.2900000000",
"2016-02-29 00:00","6.33699465","7552.0500000000",
"2016-03-01 00:00","7.65368795","8807.4800000000",
"2016-03-02 00:00","8.46539021","8680.2200000000",
"2016-03-03 00:00","9.29415035","7686.3800000000",
"2016-03-04 00:00","10.4059763","9057.1100000000",
"2016-03-05 00:00","11.00372696","9097.7200000000",
"2016-03-06 00:00","11.38289928","8996.4900000000",
"2016-03-07 00:00","9.55262756","6292.1500000000",
"2016-03-08 00:00","9.84720898","8058.2100000000",
"2016-03-09 00:00","11.89802456","7206.3700000000",
"2016-03-10 00:00","11.30498314","9850.8500000000",
"2016-03-11 00:00","11.08280182","15736.4600000000",
"2016-03-12 00:00","13.53334332","18129.3200000000",
"2016-03-13 00:00","14.47500515","11439.6900000000",
"2016-03-14 00:00","12.45259762","16143.3900000000",
"2016-03-15 00:00","13.01002026","17209.1500000000",
"2016-03-16 00:00","12.52089119","19266.1700000000",
"2016-03-17 00:00","11.08146954","15326.5300000000",
"2016-03-18 00:00","10.99812794","15743.6700000000",
"2016-03-19 00:00","10.53070736","14796.0500000000",
"2016-03-20 00:00","10.3197794","14571.6000000000",
"2016-03-21 00:00","11.86412048","14985.5100000000",
"2016-03-22 00:00","11.27481174","16163.0500000000",
"2016-03-23 00:00","12.41674995","17113.4500000000",
"2016-03-24 00:00","11.23501301","15898.3300000000",
"2016-03-25 00:00","10.74315929","15267.3000000000",
"2016-03-26 00:00","10.97396755","14605.4900000000",
"2016-03-27 00:00","10.4192009","14215.4500000000",
"2016-03-28 00:00","11.66560268","15262.4100000000",
"2016-03-29 00:00","11.6564436","16644.2200000000",
"2016-03-30 00:00","11.952878","14624.9100000000",
"2016-03-31 00:00","11.40353775","16431.1900000000",
"2016-04-01 00:00","11.66358757","15365.4700000000",
"2016-04-02 00:00","11.598876","17118.5300000000",
"2016-04-03 00:00","11.61833286","16787.9500000000",
"2016-04-04 00:00","11.15727425","14538.6400000000",
"2016-04-05 00:00","10.43812466","12172.1800000000",
"2016-04-06 00:00","10.68538189","14319.2600000000",
"2016-04-07 00:00","10.06968307","13273.9100000000",
"2016-04-08 00:00","9.71958637","11793.1900000000",
"2016-04-09 00:00","9.15061855","12359.0300000000",
"2016-04-10 00:00","8.93634224","10235.0200000000",
"2016-04-11 00:00","8.64378929","9780.1000000000",
"2016-04-12 00:00","7.44231272","9983.4700000000",
"2016-04-13 00:00","8.04442024","10814.9300000000",
"2016-04-14 00:00","8.38724041","11667.3100000000",
"2016-04-15 00:00","8.24278069","11196.5900000000",
"2016-04-16 00:00","8.60949898","12118.3000000000",
"2016-04-17 00:00","9.30909824","13908.3700000000",
"2016-04-18 00:00","9.03599834","12890.8100000000",
"2016-04-19 00:00","8.71487713","13123.8700000000",
"2016-04-20 00:00","8.46579361","11708.1600000000",
"2016-04-21 00:00","8.10217285","11162.7800000000",
"2016-04-22 00:00","7.82126379","10887.6000000000",
"2016-04-23 00:00","8.29479218","12425.5200000000",
"2016-04-24 00:00","8.00135231","12474.4300000000",
"2016-04-25 00:00","7.5543375","10333.1900000000",
"2016-04-26 00:00","7.39704084","11177.9500000000",
"2016-04-27 00:00","7.75997066","10729.8900000000",
"2016-04-28 00:00","7.17252827","11156.9300000000",
"2016-04-29 00:00","7.45728827","11786.5900000000",
"2016-04-30 00:00","8.81397915","11004.3600000000",
"2016-05-01 00:00","8.8465023","14044.4100000000",
"2016-05-02 00:00","10.16323185","14175.0000000000",
"2016-05-03 00:00","9.31127167","14725.7300000000",
"2016-05-04 00:00","9.41376877","14599.3700000000",
"2016-05-05 00:00","9.8261013","15176.1000000000",
"2016-05-06 00:00","9.34663868","14632.9100000000",
"2016-05-07 00:00","9.37050915","13722.1400000000",
"2016-05-08 00:00","9.48293018","14422.9200000000",
"2016-05-09 00:00","9.29773235","14667.3200000000",
"2016-05-10 00:00","9.36151505","15407.9200000000",
"2016-05-11 00:00","9.99627781","17010.0800000000",
"2016-05-12 00:00","10.05779934","19565.3200000000",
"2016-05-13 00:00","10.50657082","17880.7300000000",
"2016-05-14 00:00","10.23973179","16833.8600000000",
"2016-05-15 00:00","9.9623518","16378.4500000000",
"2016-05-16 00:00","11.17129898","20616.0000000000",
"2016-05-17 00:00","12.1987505","26275.8600000000",
"2016-05-18 00:00","13.55858231","25113.8200000000",
"2016-05-19 00:00","14.76970387","27091.5000000000",
"2016-05-20 00:00","13.63562298","25184.2000000000",
"2016-05-21 00:00","14.01504421","24599.4500000000",
"2016-05-22 00:00","14.28610992","27225.0600000000",
"2016-05-23 00:00","13.46151066","24086.4400000000",
"2016-05-24 00:00","12.73231983","26144.7200000000",
"2016-05-25 00:00","12.52603245","23012.8400000000",
"2016-05-26 00:00","12.43041801","22015.9100000000",
"2016-05-27 00:00","11.29575253","24973.5700000000",
"2016-05-28 00:00","11.89294243","23112.7800000000",
"2016-05-29 00:00","12.35042667","23484.6000000000",
"2016-05-30 00:00","12.72528076","23369.4700000000",
"2016-05-31 00:00","14.07725048","25260.4000000000",
"2016-06-01 00:00","14.00150299","24336.2500000000",
"2016-06-02 00:00","13.73803997","28043.7000000000",
"2016-06-03 00:00","13.8466959","27109.1000000000",
"2016-06-04 00:00","13.74044323","23544.3300000000",
"2016-06-05 00:00","13.97502708","24391.3100000000",
"2016-06-06 00:00","13.93407631","26707.9100000000",
"2016-06-07 00:00","14.51203537","25798.5900000000",
"2016-06-08 00:00","14.41773224","24569.6200000000",
"2016-06-09 00:00","14.39861774","22540.9500000000",
"2016-06-10 00:00","13.90864468","23954.4000000000",
"2016-06-11 00:00","14.19161892","26175.4500000000",
"2016-06-12 00:00","15.74371529","28958.8600000000",
"2016-06-13 00:00","17.60272408","35118.6500000000",
"2016-06-14 00:00","18.89321709","31911.5600000000",
"2016-06-15 00:00","18.35429001","33639.6100000000",
"2016-06-16 00:00","20.58860207","70883.2200000000",
"2016-06-17 00:00","15.37683868","62616.8700000000",
"2016-06-18 00:00","11.33068657","25051.4700000000",
"2016-06-19 00:00","12.23420715","21426.2000000000",
"2016-06-20 00:00","11.83953381","24010.3900000000",
"2016-06-21 00:00","13.30673122","26129.8400000000",
"2016-06-22 00:00","13.09510899","22726.0300000000",
"2016-06-23 00:00","13.67622185","26184.1700000000",
"2016-06-24 00:00","14.33205795","23245.5900000000",
"2016-06-25 00:00","14.28302765","27902.7400000000",
"2016-06-26 00:00","13.85019493","24655.9900000000",
"2016-06-27 00:00","13.88386536","23871.1600000000",
"2016-06-28 00:00","12.17556","21962.0600000000",
"2016-06-29 00:00","12.61120892","24595.4000000000",
"2016-06-30 00:00","12.46150208","22478.7500000000",
"2016-07-01 00:00","12.19946003","21988.0800000000",
"2016-07-02 00:00","12.128438","20875.1300000000",
"2016-07-03 00:00","11.7202177","19911.2600000000",
"2016-07-04 00:00","11.47100258","17939.7100000000",
"2016-07-05 00:00","10.61136818","19560.6700000000",
"2016-07-06 00:00","10.52893353","16572.7200000000",
"2016-07-07 00:00","10.10936642","19467.5800000000",
"2016-07-08 00:00","11.39457512","22521.8200000000",
"2016-07-09 00:00","10.96547318","18319.4900000000",
"2016-07-10 00:00","10.94762325","18294.8600000000",
"2016-07-11 00:00","10.45902729","17787.6200000000",
"2016-07-12 00:00","10.51609421","17504.9800000000",
"2016-07-13 00:00","10.50051498","19050.3800000000",
"2016-07-14 00:00","11.51319122","22435.4300000000",
"2016-07-15 00:00","11.95162392","19900.8700000000",
"2016-07-16 00:00","11.65283012","17837.9900000000",
"2016-07-17 00:00","11.15869617","21587.1300000000",
"2016-07-18 00:00","11.03442764","20525.1700000000",
"2016-07-19 00:00","11.61912441","25468.3800000000",
"2016-07-20 00:00","12.45060062","23884.8400000000",
"2016-07-21 00:00","12.65074444","25412.6900000000",
"2016-07-22 00:00","14.66192436","26975.9500000000",
"2016-07-23 00:00","14.29966831","22538.1400000000",
"2016-07-24 00:00","12.74947929","23278.3000000000",
"2016-07-25 00:00","13.83611584","20953.4300000000",
"2016-07-26 00:00","11.98951626","25093.4700000000",
"2016-07-27 00:00","12.97279072","23415.5000000000",
"2016-07-28 00:00","12.84363079","24768.0500000000",
"2016-07-29 00:00","12.79463482","21095.2200000000",
"2016-07-30 00:00","12.46101952","24484.3200000000",
"2016-07-31 00:00","11.87594414","19916.4100000000",
"2016-08-01 00:00","10.94160366","19048.8700000000",
"2016-08-02 00:00","8.78727818","16887.2500000000",
"2016-08-03 00:00","10.29389095","19984.8700000000",
"2016-08-04 00:00","11.0427866","20273.2100000000",
"2016-08-05 00:00","10.92538166","16974.7800000000",
"2016-08-06 00:00","10.88107681","20245.2200000000",
"2016-08-07 00:00","10.91155529","19970.5900000000",
"2016-08-08 00:00","11.2454319","23032.3500000000",
"2016-08-09 00:00","12.2443018","22414.3900000000",
"2016-08-10 00:00","12.14320564","20999.6100000000",
"2016-08-11 00:00","11.69089794","23339.9300000000",
"2016-08-12 00:00","11.77854824","20796.5100000000",
"2016-08-13 00:00","11.57128239","19770.0900000000",
"2016-08-14 00:00","11.19476032","20077.9900000000",
"2016-08-15 00:00","11.21837139","18751.9200000000",
"2016-08-16 00:00","11.13965511","20703.4100000000",
"2016-08-17 00:00","10.75275326","24049.5200000000",
"2016-08-18 00:00","10.75610638","18354.1400000000",
"2016-08-19 00:00","10.74868679","21074.4500000000",
"2016-08-20 00:00","11.24738789","24146.8900000000",
"2016-08-21 00:00","11.17916775","20508.2700000000",
"2016-08-22 00:00","11.12092113","22369.8000000000",
"2016-08-23 00:00","11.03055477","21338.4700000000",
"2016-08-24 00:00","11.03602505","18023.0400000000",
"2016-08-25 00:00","11.35740757","19963.1500000000",
"2016-08-26 00:00","11.29538727","20766.2300000000",
"2016-08-27 00:00","11.1482029","19709.7400000000",
"2016-08-28 00:00","10.92926788","19542.9400000000",
"2016-08-29 00:00","10.98382664","18566.9800000000",
"2016-08-30 00:00","11.22885418","19591.2400000000",
"2016-08-31 00:00","11.67238045","20811.7300000000",
"2016-09-01 00:00","11.99490738","22587.7900000000",
"2016-09-02 00:00","12.11295128","19575.2100000000",
"2016-09-03 00:00","11.75873947","19593.7300000000",
"2016-09-04 00:00","11.67991734","20432.3500000000",
"2016-09-05 00:00","11.71703339","19137.2000000000",
"2016-09-06 00:00","11.68914032","18797.8500000000",
"2016-09-07 00:00","11.54791069","20062.3500000000",
"2016-09-08 00:00","11.34593678","20471.8500000000",
"2016-09-09 00:00","11.65284252","20455.9700000000",
"2016-09-10 00:00","12.1684866","21538.1100000000",
"2016-09-11 00:00","11.63843155","21731.1000000000",
"2016-09-12 00:00","11.89369202","21827.8700000000",
"2016-09-13 00:00","11.91872501","23875.5300000000",
"2016-09-14 00:00","11.92320633","23424.3400000000",
"2016-09-15 00:00","11.93702698","22532.2300000000",
"2016-09-16 00:00","12.55577183","23556.5700000000",
"2016-09-17 00:00","12.69864559","19439.6600000000",
"2016-09-18 00:00","12.43123531","27507.0900000000",
"2016-09-19 00:00","13.18900108","21616.9400000000",
"2016-09-20 00:00","14.43027496","23319.4200000000",
"2016-09-21 00:00","13.76851273","35050.2800000000",
"2016-09-22 00:00","13.24758434","40505.6600000000",
"2016-09-23 00:00","13.3313179","48618.8300000000",
"2016-09-24 00:00","12.87793636","37837.2800000000",
"2016-09-25 00:00","13.10085487","35898.3900000000",
"2016-09-26 00:00","12.8230505","62879.7100000000",
"2016-09-27 00:00","13.09827995","23827.1000000000",
"2016-09-28 00:00","13.27484035","21083.0500000000",
"2016-09-29 00:00","13.07335472","20142.0500000000",
"2016-09-30 00:00","13.22480297","70394.6000000000",
"2016-10-01 00:00","13.17269611","68851.4100000000",
"2016-10-02 00:00","13.19970989","28443.8300000000",
"2016-10-03 00:00","13.45236683","21258.6800000000",
"2016-10-04 00:00","13.27698708","50521.0300000000",
"2016-10-05 00:00","13.03569317","37611.0900000000",
"2016-10-06 00:00","12.85433292","85507.7900000000",
"2016-10-07 00:00","12.66705894","59638.8200000000",
"2016-10-08 00:00","12.21911621","37248.4600000000",
"2016-10-09 00:00","12.05368328","33141.6800000000",
"2016-10-10 00:00","11.75553703","25703.6500000000",
"2016-10-11 00:00","11.78567982","40657.3600000000",
"2016-10-12 00:00","11.93353081","48071.3400000000",
"2016-10-13 00:00","11.9630022","28685.1000000000",
"2016-10-14 00:00","11.93824577","23404.7000000000",
"2016-10-15 00:00","11.98343563","30388.5800000000",
"2016-10-16 00:00","11.9515667","29411.8000000000",
"2016-10-17 00:00","12.0050087","33701.1600000000",
"2016-10-18 00:00","12.58848763","49349.0000000000",
"2016-10-19 00:00","12.02256203","35185.9800000000",
"2016-10-20 00:00","12.098979","18936.5500000000",
"2016-10-21 00:00","12.17536449","17260.3000000000",
"2016-10-22 00:00","12.07148743","15709.4900000000",
"2016-10-23 00:00","12.03603363","19855.9300000000",
"2016-10-24 00:00","11.96895885","16686.9300000000",
"2016-10-25 00:00","11.41400719","16389.4700000000",
"2016-10-26 00:00","11.53199673","14980.6900000000",
"2016-10-27 00:00","11.49969292","14629.4800000000",
"2016-10-28 00:00","11.08507824","11792.7100000000",
