时间,币价,活跃地址数
"2016-06-23 00:00","13.67622185","21660.0000000000",
"2016-06-24 00:00","14.33205795","18664.0000000000",
"2016-06-25 00:00","14.28302765","22384.0000000000",
"2016-06-26 00:00","13.85019493","19734.0000000000",
"2016-06-27 00:00","13.88386536","21670.0000000000",
"2016-06-28 00:00","12.17556","20372.0000000000",
"2016-06-29 00:00","12.61120892","19877.0000000000",
"2016-06-30 00:00","12.46150208","20103.0000000000",
"2016-07-01 00:00","12.19946003","19842.0000000000",
"2016-07-02 00:00","12.128438","20137.0000000000",
"2016-07-03 00:00","11.7202177","20670.0000000000",
"2016-07-04 00:00","11.47100258","21102.0000000000",
"2016-07-05 00:00","10.61136818","19976.0000000000",
"2016-07-06 00:00","10.52893353","20164.0000000000",
"2016-07-07 00:00","10.10936642","20991.0000000000",
"2016-07-08 00:00","11.39457512","21379.0000000000",
"2016-07-09 00:00","10.96547318","20383.0000000000",
"2016-07-10 00:00","10.94762325","19575.0000000000",
"2016-07-11 00:00","10.45902729","21220.0000000000",
"2016-07-12 00:00","10.51609421","18114.0000000000",
"2016-07-13 00:00","10.50051498","21022.0000000000",
"2016-07-14 00:00","11.51319122","21187.0000000000",
"2016-07-15 00:00","11.95162392","19764.0000000000",
"2016-07-16 00:00","11.65283012","16545.0000000000",
"2016-07-17 00:00","11.15869617","20137.0000000000",
"2016-07-18 00:00","11.03442764","26774.0000000000",
"2016-07-19 00:00","11.61912441","25476.0000000000",
"2016-07-20 00:00","12.45060062","22556.0000000000",
"2016-07-21 00:00","12.65074444","24749.0000000000",
"2016-07-22 00:00","14.66192436","22662.0000000000",
"2016-07-23 00:00","14.29966831","27114.0000000000",
"2016-07-24 00:00","12.74947929","25353.0000000000",
"2016-07-25 00:00","13.83611584","30263.0000000000",
"2016-07-26 00:00","11.98951626","28959.0000000000",
"2016-07-27 00:00","12.97279072","24490.0000000000",
"2016-07-28 00:00","12.84363079","23565.0000000000",
"2016-07-29 00:00","12.79463482","20605.0000000000",
"2016-07-30 00:00","12.46101952","21411.0000000000",
"2016-07-31 00:00","11.87594414","21789.0000000000",
"2016-08-01 00:00","10.94160366","20387.0000000000",
"2016-08-02 00:00","8.78727818","22812.0000000000",
"2016-08-03 00:00","10.29389095","21918.0000000000",
"2016-08-04 00:00","11.0427866","20775.0000000000",
"2016-08-05 00:00","10.92538166","19492.0000000000",
"2016-08-06 00:00","10.88107681","20107.0000000000",
"2016-08-07 00:00","10.91155529","20447.0000000000",
"2016-08-08 00:00","11.2454319","22870.0000000000",
"2016-08-09 00:00","12.2443018","21211.0000000000",
"2016-08-10 00:00","12.14320564","22562.0000000000",
"2016-08-11 00:00","11.69089794","20118.0000000000",
"2016-08-12 00:00","11.77854824","19468.0000000000",
"2016-08-13 00:00","11.57128239","19446.0000000000",
"2016-08-14 00:00","11.19476032","19907.0000000000",
"2016-08-15 00:00","11.21837139","20902.0000000000",
"2016-08-16 00:00","11.13965511","20055.0000000000",
"2016-08-17 00:00","10.75275326","19708.0000000000",
"2016-08-18 00:00","10.75610638","20033.0000000000",
"2016-08-19 00:00","10.74868679","19646.0000000000",
"2016-08-20 00:00","11.24738789","20206.0000000000",
"2016-08-21 00:00","11.17916775","20076.0000000000",
"2016-08-22 00:00","11.12092113","22051.0000000000",
"2016-08-23 00:00","11.03055477","20002.0000000000",
"2016-08-24 00:00","11.03602505","21408.0000000000",
"2016-08-25 00:00","11.35740757","19920.0000000000",
"2016-08-26 00:00","11.29538727","19832.0000000000",
"2016-08-27 00:00","11.1482029","20195.0000000000",
"2016-08-28 00:00","10.92926788","21124.0000000000",
"2016-08-29 00:00","10.98382664","20281.0000000000",
"2016-08-30 00:00","11.22885418","21846.0000000000",
"2016-08-31 00:00","11.67238045","22219.0000000000",
"2016-09-01 00:00","11.99490738","22724.0000000000",
"2016-09-02 00:00","12.11295128","20211.0000000000",
"2016-09-03 00:00","11.75873947","20969.0000000000",
"2016-09-04 00:00","11.67991734","20445.0000000000",
"2016-09-05 00:00","11.71703339","21080.0000000000",
"2016-09-06 00:00","11.68914032","19809.0000000000",
"2016-09-07 00:00","11.54791069","22687.0000000000",
"2016-09-08 00:00","11.34593678","20888.0000000000",
"2016-09-09 00:00","11.65284252","20368.0000000000",
"2016-09-10 00:00","12.1684866","20737.0000000000",
"2016-09-11 00:00","11.63843155","21977.0000000000",
"2016-09-12 00:00","11.89369202","20794.0000000000",
"2016-09-13 00:00","11.91872501","20539.0000000000",
"2016-09-14 00:00","11.92320633","21308.0000000000",
"2016-09-15 00:00","11.93702698","21607.0000000000",
"2016-09-16 00:00","12.55577183","21519.0000000000",
"2016-09-17 00:00","12.69864559","19690.0000000000",
"2016-09-18 00:00","12.43123531","21038.0000000000",
"2016-09-19 00:00","13.18900108","24691.0000000000",
"2016-09-20 00:00","14.43027496","21017.0000000000",
"2016-09-21 00:00","13.76851273","17555.0000000000",
"2016-09-22 00:00","13.24758434","18106.0000000000",
"2016-09-23 00:00","13.3313179","18601.0000000000",
"2016-09-24 00:00","12.87793636","17909.0000000000",
"2016-09-25 00:00","13.10085487","17905.0000000000",
"2016-09-26 00:00","12.8230505","17565.0000000000",
"2016-09-27 00:00","13.09827995","18841.0000000000",
"2016-09-28 00:00","13.27484035","19838.0000000000",
"2016-09-29 00:00","13.07335472","17829.0000000000",
"2016-09-30 00:00","13.22480297","19740.0000000000",
"2016-10-01 00:00","13.17269611","20500.0000000000",
"2016-10-02 00:00","13.19970989","19456.0000000000",
"2016-10-03 00:00","13.45236683","55156.0000000000",
"2016-10-04 00:00","13.27698708","47372.0000000000",
"2016-10-05 00:00","13.03569317","45320.0000000000",
"2016-10-06 00:00","12.85433292","40241.0000000000",
"2016-10-07 00:00","12.66705894","19657.0000000000",
"2016-10-08 00:00","12.21911621","20140.0000000000",
"2016-10-09 00:00","12.05368328","51837.0000000000",
"2016-10-10 00:00","11.75553703","2268374.0000000000",
"2016-10-11 00:00","11.78567982","7157280.0000000000",
"2016-10-12 00:00","11.93353081","4981628.0000000000",
"2016-10-13 00:00","11.9630022","1015335.0000000000",
"2016-10-14 00:00","11.93824577","713717.0000000000",
"2016-10-15 00:00","11.98343563","1183332.0000000000",
"2016-10-16 00:00","11.9515667","1078243.0000000000",
"2016-10-17 00:00","12.0050087","879352.0000000000",
"2016-10-18 00:00","12.58848763","15912.0000000000",
"2016-10-19 00:00","12.02256203","21053.0000000000",
"2016-10-20 00:00","12.098979","23376.0000000000",
"2016-10-21 00:00","12.17536449","19156.0000000000",
"2016-10-22 00:00","12.07148743","17804.0000000000",
"2016-10-23 00:00","12.03603363","20429.0000000000",
"2016-10-24 00:00","11.96895885","19711.0000000000",
"2016-10-25 00:00","11.41400719","19223.0000000000",
