时间,币价,交易笔数
"2016-03-27 00:00","10.4192009","33613.0000000000",
"2016-03-28 00:00","11.66560268","33915.0000000000",
"2016-03-29 00:00","11.6564436","36767.0000000000",
"2016-03-30 00:00","11.952878","32259.0000000000",
"2016-03-31 00:00","11.40353775","33320.0000000000",
"2016-04-01 00:00","11.66358757","29358.0000000000",
"2016-04-02 00:00","11.598876","29588.0000000000",
"2016-04-03 00:00","11.61833286","34907.0000000000",
"2016-04-04 00:00","11.15727425","39173.0000000000",
"2016-04-05 00:00","10.43812466","32078.0000000000",
"2016-04-06 00:00","10.68538189","31893.0000000000",
"2016-04-07 00:00","10.06968307","34010.0000000000",
"2016-04-08 00:00","9.71958637","31923.0000000000",
"2016-04-09 00:00","9.15061855","32237.0000000000",
"2016-04-10 00:00","8.93634224","30327.0000000000",
"2016-04-11 00:00","8.64378929","34673.0000000000",
"2016-04-12 00:00","7.44231272","36051.0000000000",
"2016-04-13 00:00","8.04442024","34781.0000000000",
"2016-04-14 00:00","8.38724041","34959.0000000000",
"2016-04-15 00:00","8.24278069","30483.0000000000",
"2016-04-16 00:00","8.60949898","40203.0000000000",
"2016-04-17 00:00","9.30909824","33513.0000000000",
"2016-04-18 00:00","9.03599834","32622.0000000000",
"2016-04-19 00:00","8.71487713","32944.0000000000",
"2016-04-20 00:00","8.46579361","37181.0000000000",
"2016-04-21 00:00","8.10217285","31678.0000000000",
"2016-04-22 00:00","7.82126379","31845.0000000000",
"2016-04-23 00:00","8.29479218","34046.0000000000",
"2016-04-24 00:00","8.00135231","35430.0000000000",
"2016-04-25 00:00","7.5543375","32582.0000000000",
"2016-04-26 00:00","7.39704084","33847.0000000000",
"2016-04-27 00:00","7.75997066","34343.0000000000",
"2016-04-28 00:00","7.17252827","37332.0000000000",
"2016-04-29 00:00","7.45728827","45769.0000000000",
"2016-04-30 00:00","8.81397915","39578.0000000000",
"2016-05-01 00:00","8.8465023","41748.0000000000",
"2016-05-02 00:00","10.16323185","37821.0000000000",
"2016-05-03 00:00","9.31127167","37484.0000000000",
"2016-05-04 00:00","9.41376877","38707.0000000000",
"2016-05-05 00:00","9.8261013","41271.0000000000",
"2016-05-06 00:00","9.34663868","35864.0000000000",
"2016-05-07 00:00","9.37050915","40063.0000000000",
"2016-05-08 00:00","9.48293018","38560.0000000000",
"2016-05-09 00:00","9.29773235","40684.0000000000",
"2016-05-10 00:00","9.36151505","40811.0000000000",
"2016-05-11 00:00","9.99627781","45002.0000000000",
"2016-05-12 00:00","10.05779934","47739.0000000000",
"2016-05-13 00:00","10.50657082","45745.0000000000",
"2016-05-14 00:00","10.23973179","43073.0000000000",
"2016-05-15 00:00","9.9623518","37424.0000000000",
"2016-05-16 00:00","11.17129898","40309.0000000000",
"2016-05-17 00:00","12.1987505","46033.0000000000",
"2016-05-18 00:00","13.55858231","44523.0000000000",
"2016-05-19 00:00","14.76970387","45177.0000000000",
"2016-05-20 00:00","13.63562298","43621.0000000000",
"2016-05-21 00:00","14.01504421","38895.0000000000",
"2016-05-22 00:00","14.28610992","43806.0000000000",
"2016-05-23 00:00","13.46151066","42911.0000000000",
"2016-05-24 00:00","12.73231983","46443.0000000000",
"2016-05-25 00:00","12.52603245","51147.0000000000",
"2016-05-26 00:00","12.43041801","49006.0000000000",
"2016-05-27 00:00","11.29575253","70148.0000000000",
"2016-05-28 00:00","11.89294243","45890.0000000000",
"2016-05-29 00:00","12.35042667","42927.0000000000",
"2016-05-30 00:00","12.72528076","44386.0000000000",
"2016-05-31 00:00","14.07725048","42221.0000000000",
"2016-06-01 00:00","14.00150299","39666.0000000000",
"2016-06-02 00:00","13.73803997","39834.0000000000",
"2016-06-03 00:00","13.8466959","37875.0000000000",
"2016-06-04 00:00","13.74044323","37896.0000000000",
"2016-06-05 00:00","13.97502708","38957.0000000000",
"2016-06-06 00:00","13.93407631","46141.0000000000",
"2016-06-07 00:00","14.51203537","40433.0000000000",
"2016-06-08 00:00","14.41773224","39854.0000000000",
"2016-06-09 00:00","14.39861774","40145.0000000000",
"2016-06-10 00:00","13.90864468","36901.0000000000",
"2016-06-11 00:00","14.19161892","42581.0000000000",
"2016-06-12 00:00","15.74371529","46185.0000000000",
"2016-06-13 00:00","17.60272408","50335.0000000000",
"2016-06-14 00:00","18.89321709","43251.0000000000",
"2016-06-15 00:00","18.35429001","43392.0000000000",
"2016-06-16 00:00","20.58860207","66558.0000000000",
"2016-06-17 00:00","15.37683868","63083.0000000000",
"2016-06-18 00:00","11.33068657","51035.0000000000",
"2016-06-19 00:00","12.23420715","47118.0000000000",
"2016-06-20 00:00","11.83953381","47323.0000000000",
"2016-06-21 00:00","13.30673122","48615.0000000000",
"2016-06-22 00:00","13.09510899","41908.0000000000",
"2016-06-23 00:00","13.67622185","45331.0000000000",
