时间,币价,挖币数量
"2015-12-28 00:00","0.8450051","25010.0000000000",
"2015-12-29 00:00","0.87305421","25281.0000000000",
"2015-12-30 00:00","0.91195798","25295.0000000000",
"2015-12-31 00:00","0.93354231","24508.0000000000",
"2016-01-01 00:00","0.94802439","25573.0000000000",
"2016-01-02 00:00","0.93712407","25772.0000000000",
"2016-01-03 00:00","0.97190481","25581.0000000000",
"2016-01-04 00:00","0.95448023","25781.0000000000",
"2016-01-05 00:00","0.95017588","25606.0000000000",
"2016-01-06 00:00","0.95085979","25057.0000000000",
"2016-01-07 00:00","0.94200456","25992.0000000000",
"2016-01-08 00:00","0.98678917","25620.0000000000",
"2016-01-09 00:00","0.98683339","25566.0000000000",
"2016-01-10 00:00","0.99923068","25621.0000000000",
"2016-01-11 00:00","1.0615958","24727.0000000000",
"2016-01-12 00:00","1.14100134","25133.0000000000",
"2016-01-13 00:00","1.12520289","25537.0000000000",
"2016-01-14 00:00","1.18958628","25499.0000000000",
"2016-01-15 00:00","1.20801461","25306.0000000000",
"2016-01-16 00:00","1.22029054","25256.0000000000",
"2016-01-17 00:00","1.32746649","25442.0000000000",
"2016-01-18 00:00","1.42633688","24946.0000000000",
"2016-01-19 00:00","1.37139285","25265.0000000000",
"2016-01-20 00:00","1.53181744","24881.0000000000",
"2016-01-21 00:00","1.55356717","25116.0000000000",
"2016-01-22 00:00","1.50126517","24704.0000000000",
"2016-01-23 00:00","1.97266793","25922.0000000000",
"2016-01-24 00:00","2.14119911","24499.0000000000",
"2016-01-25 00:00","2.49927235","25848.0000000000",
"2016-01-26 00:00","2.27637196","25021.0000000000",
"2016-01-27 00:00","2.38854671","25388.0000000000",
"2016-01-28 00:00","2.52648711","24995.0000000000",
"2016-01-29 00:00","2.49496174","25166.0000000000",
"2016-01-30 00:00","2.44506311","24448.0000000000",
"2016-01-31 00:00","2.30604291","25163.0000000000",
"2016-02-01 00:00","2.21168852","24850.0000000000",
"2016-02-02 00:00","2.43964028","26076.0000000000",
"2016-02-03 00:00","2.52868819","25395.0000000000",
"2016-02-04 00:00","2.57804036","25324.0000000000",
"2016-02-05 00:00","2.53899145","25234.0000000000",
"2016-02-06 00:00","2.53446054","25540.0000000000",
"2016-02-07 00:00","2.96433783","25446.0000000000",
"2016-02-08 00:00","3.17978644","25375.0000000000",
"2016-02-09 00:00","4.04464245","24920.0000000000",
"2016-02-10 00:00","4.43626165","25198.0000000000",
"2016-02-11 00:00","6.01310158","25253.0000000000",
"2016-02-12 00:00","5.54697657","25560.0000000000",
"2016-02-13 00:00","5.38531876","25035.0000000000",
"2016-02-14 00:00","5.2397294","24961.0000000000",
"2016-02-15 00:00","5.28835154","25212.0000000000",
"2016-02-16 00:00","4.31529093","24384.0000000000",
"2016-02-17 00:00","3.75724053","25075.0000000000",
"2016-02-18 00:00","4.39913368","25263.0000000000",
"2016-02-19 00:00","4.73789215","25335.0000000000",
"2016-02-20 00:00","4.34132528","25355.0000000000",
"2016-02-21 00:00","4.65361786","25599.0000000000",
"2016-02-22 00:00","5.61650419","24994.0000000000",
"2016-02-23 00:00","5.58620644","25250.0000000000",
"2016-02-24 00:00","6.23647213","25721.0000000000",
"2016-02-25 00:00","6.1048007","25383.0000000000",
"2016-02-26 00:00","5.92166948","25039.0000000000",
"2016-02-27 00:00","6.4258585","25227.0000000000",
"2016-02-28 00:00","6.46834803","24180.0000000000",
"2016-02-29 00:00","6.33699465","25345.0000000000",
"2016-03-01 00:00","7.65368795","25520.0000000000",
"2016-03-02 00:00","8.46539021","25150.0000000000",
"2016-03-03 00:00","9.29415035","25045.0000000000",
"2016-03-04 00:00","10.4059763","25765.0000000000",
"2016-03-05 00:00","11.00372696","24613.0000000000",
"2016-03-06 00:00","11.38289928","25198.0000000000",
"2016-03-07 00:00","9.55262756","25152.0000000000",
"2016-03-08 00:00","9.84720898","25008.0000000000",
"2016-03-09 00:00","11.89802456","26031.0000000000",
"2016-03-10 00:00","11.30498314","25385.0000000000",
"2016-03-11 00:00","11.08280182","25189.0000000000",
"2016-03-12 00:00","13.53334332","26010.0000000000",
"2016-03-13 00:00","14.47500515","25608.0000000000",
"2016-03-14 00:00","12.45259762","29980.0000000000",
"2016-03-15 00:00","13.01002026","30211.0000000000",
"2016-03-16 00:00","12.52089119","30516.0000000000",
"2016-03-17 00:00","11.08146954","29905.0000000000",
"2016-03-18 00:00","10.99812794","30531.0000000000",
"2016-03-19 00:00","10.53070736","30237.0000000000",
"2016-03-20 00:00","10.3197794","30067.0000000000",
"2016-03-21 00:00","11.86412048","30444.0000000000",
"2016-03-22 00:00","11.27481174","29968.0000000000",
"2016-03-23 00:00","12.41674995","30619.0000000000",
"2016-03-24 00:00","11.23501301","30440.0000000000",
"2016-03-25 00:00","10.74315929","30579.0000000000",
"2016-03-26 00:00","10.97396755","30313.0000000000",
"2016-03-27 00:00","10.4192009","30081.0000000000",
"2016-03-28 00:00","11.66560268","30136.0000000000",
"2016-03-29 00:00","11.6564436","30340.0000000000",
"2016-03-30 00:00","11.952878","30188.0000000000",
"2016-03-31 00:00","11.40353775","30496.0000000000",
"2016-04-01 00:00","11.66358757","29761.0000000000",
"2016-04-02 00:00","11.598876","30264.0000000000",
