时间,币价,每日区块奖励
"2016-11-13 00:00","10.10153484","303835.5164000000",
"2016-11-14 00:00","9.96647644","307701.6928000000",
"2016-11-15 00:00","10.21750355","308369.7930000000",
"2016-11-16 00:00","10.05912781","294443.9748000000",
"2016-11-17 00:00","9.99117851","302671.6680000000",
"2016-11-18 00:00","9.47615719","298165.2424000000",
"2016-11-19 00:00","9.66276073","297995.8684000000",
"2016-11-20 00:00","9.57928467","291421.3598000000",
"2016-11-21 00:00","9.62081528","295436.6565000000",
"2016-11-22 00:00","9.9057169","290347.8386000000",
"2016-11-23 00:00","9.84361649","278376.1184000000",
"2016-11-24 00:00","9.23167324","293859.8577000000",
"2016-11-25 00:00","9.40205097","280332.8585000000",
"2016-11-26 00:00","9.3281126","275249.0669000000",
"2016-11-27 00:00","8.99847031","268744.6197000000",
"2016-11-28 00:00","8.72482395","245475.5523000000",
"2016-11-29 00:00","8.17411613","262281.3511000000",
"2016-11-30 00:00","8.58754253","255410.5757000000",
"2016-12-01 00:00","8.4525013","242391.2001000000",
"2016-12-02 00:00","7.75996161","241903.5171000000",
"2016-12-03 00:00","7.92134237","227576.7604000000",
"2016-12-04 00:00","7.44367933","218275.3309000000",
"2016-12-05 00:00","6.82166243","211980.5080000000",
"2016-12-06 00:00","7.86892748","242599.2700000000",
"2016-12-07 00:00","8.38148212","269189.9161000000",
"2016-12-08 00:00","8.23051453","261960.1064000000",
"2016-12-09 00:00","8.44601345","254457.4090000000",
"2016-12-10 00:00","8.12516308","250519.8309000000",
"2016-12-11 00:00","8.19362354","255225.7577000000",
"2016-12-12 00:00","8.52221107","254783.0410000000",
"2016-12-13 00:00","8.4228487","255346.0873000000",
"2016-12-14 00:00","8.26523495","240455.8128000000",
"2016-12-15 00:00","7.82846737","238100.1996000000",
"2016-12-16 00:00","7.8582139","232397.2221000000",
"2016-12-17 00:00","7.87658596","241893.8683000000",
"2016-12-18 00:00","7.86532021","233742.9269000000",
"2016-12-19 00:00","7.64382315","233625.8011000000",
"2016-12-20 00:00","7.66003942","241089.4913000000",
"2016-12-21 00:00","7.91440153","227522.7339000000",
"2016-12-22 00:00","7.58500481","216182.8599000000",
"2016-12-23 00:00","7.16614914","221207.5382000000",
"2016-12-24 00:00","7.2657733","222991.7712000000",
"2016-12-25 00:00","7.17507982","220495.6855000000",
"2016-12-26 00:00","7.27409172","217328.3200000000",
"2016-12-27 00:00","7.1708231","216083.5683000000",
"2016-12-28 00:00","7.52010679","252469.2864000000",
"2016-12-29 00:00","8.28415871","248341.1347000000",
