date,transaction_vol
2016-07-16 00:00,33914.0000000000
2016-07-17 00:00,39198.0000000000
2016-07-18 00:00,44184.0000000000
2016-07-19 00:00,50631.0000000000
2016-07-20 00:00,44882.0000000000
2016-07-21 00:00,48458.0000000000
2016-07-22 00:00,45006.0000000000
2016-07-23 00:00,58215.0000000000
2016-07-24 00:00,54856.0000000000
2016-07-25 00:00,61930.0000000000
2016-07-26 00:00,53035.0000000000
2016-07-27 00:00,48555.0000000000
2016-07-28 00:00,47243.0000000000
2016-07-29 00:00,42011.0000000000
2016-07-30 00:00,48749.0000000000
2016-07-31 00:00,45978.0000000000
2016-08-01 00:00,49041.0000000000
2016-08-02 00:00,49475.0000000000
2016-08-03 00:00,46761.0000000000
2016-08-04 00:00,43212.0000000000
2016-08-05 00:00,41487.0000000000
2016-08-06 00:00,42955.0000000000
2016-08-07 00:00,42984.0000000000
2016-08-08 00:00,47057.0000000000
2016-08-09 00:00,46290.0000000000
2016-08-10 00:00,48171.0000000000
2016-08-11 00:00,44400.0000000000
2016-08-12 00:00,41088.0000000000
2016-08-13 00:00,40577.0000000000
2016-08-14 00:00,42302.0000000000
2016-08-15 00:00,48949.0000000000
2016-08-16 00:00,44867.0000000000
2016-08-17 00:00,47799.0000000000
2016-08-18 00:00,42948.0000000000
2016-08-19 00:00,41318.0000000000
2016-08-20 00:00,42543.0000000000
2016-08-21 00:00,44250.0000000000
2016-08-22 00:00,48430.0000000000
2016-08-23 00:00,46821.0000000000
2016-08-24 00:00,49868.0000000000
2016-08-25 00:00,47292.0000000000
2016-08-26 00:00,47938.0000000000
2016-08-27 00:00,42607.0000000000
2016-08-28 00:00,45510.0000000000
2016-08-29 00:00,46979.0000000000
2016-08-30 00:00,45846.0000000000
2016-08-31 00:00,47491.0000000000
2016-09-01 00:00,55413.0000000000
2016-09-02 00:00,44792.0000000000
2016-09-03 00:00,48128.0000000000
2016-09-04 00:00,42667.0000000000
2016-09-05 00:00,49102.0000000000
2016-09-06 00:00,48701.0000000000
2016-09-07 00:00,55970.0000000000
2016-09-08 00:00,53918.0000000000
2016-09-09 00:00,42875.0000000000
2016-09-10 00:00,43345.0000000000
2016-09-11 00:00,45123.0000000000
2016-09-12 00:00,42591.0000000000
2016-09-13 00:00,53859.0000000000
2016-09-14 00:00,52622.0000000000
2016-09-15 00:00,57532.0000000000
2016-09-16 00:00,46882.0000000000
2016-09-17 00:00,37893.0000000000
2016-09-18 00:00,40505.0000000000
2016-09-19 00:00,54067.0000000000
2016-09-20 00:00,44549.0000000000
2016-09-21 00:00,52657.0000000000
2016-09-22 00:00,35219.0000000000
2016-09-23 00:00,43418.0000000000
2016-09-24 00:00,38713.0000000000
2016-09-25 00:00,43514.0000000000
2016-09-26 00:00,46817.0000000000
2016-09-27 00:00,42797.0000000000
2016-09-28 00:00,40416.0000000000
2016-09-29 00:00,35836.0000000000
2016-09-30 00:00,53076.0000000000
2016-10-01 00:00,51105.0000000000
2016-10-02 00:00,47672.0000000000
2016-10-03 00:00,56662.0000000000
2016-10-04 00:00,41719.0000000000
2016-10-05 00:00,36826.0000000000
2016-10-06 00:00,43708.0000000000
2016-10-07 00:00,37690.0000000000
2016-10-08 00:00,43940.0000000000
2016-10-09 00:00,44940.0000000000
2016-10-10 00:00,41053.0000000000
2016-10-11 00:00,30002.0000000000
2016-10-12 00:00,32244.0000000000
2016-10-13 00:00,42006.0000000000
2016-10-14 00:00,33662.0000000000
2016-10-15 00:00,34990.0000000000
2016-10-16 00:00,38136.0000000000
2016-10-17 00:00,51898.0000000000
2016-10-18 00:00,38497.0000000000
2016-10-19 00:00,43438.0000000000
2016-10-20 00:00,57780.0000000000
2016-10-21 00:00,37772.0000000000
2016-10-22 00:00,35364.0000000000
2016-10-23 00:00,52547.0000000000
2016-10-24 00:00,47610.0000000000
2016-10-25 00:00,45158.0000000000
2016-10-26 00:00,44353.0000000000
2016-10-27 00:00,41522.0000000000
2016-10-28 00:00,40011.0000000000
2016-10-29 00:00,39435.0000000000
2016-10-30 00:00,45031.0000000000
2016-10-31 00:00,49025.0000000000
2016-11-01 00:00,43519.0000000000
2016-11-02 00:00,42346.0000000000
2016-11-03 00:00,32572.0000000000
