date,block_count
2016-03-02 00:00,5014.0000000000
2016-03-03 00:00,4994.0000000000
2016-03-04 00:00,5138.0000000000
2016-03-05 00:00,4907.0000000000
2016-03-06 00:00,5026.0000000000
2016-03-07 00:00,5017.0000000000
2016-03-08 00:00,4989.0000000000
2016-03-09 00:00,5196.0000000000
2016-03-10 00:00,5065.0000000000
2016-03-11 00:00,5023.0000000000
2016-03-12 00:00,5186.0000000000
2016-03-13 00:00,5108.0000000000
2016-03-14 00:00,5979.0000000000
2016-03-15 00:00,6025.0000000000
2016-03-16 00:00,6082.0000000000
2016-03-17 00:00,5962.0000000000
2016-03-18 00:00,6082.0000000000
2016-03-19 00:00,6027.0000000000
2016-03-20 00:00,5994.0000000000
2016-03-21 00:00,6071.0000000000
2016-03-22 00:00,5974.0000000000
2016-03-23 00:00,6101.0000000000
2016-03-24 00:00,6066.0000000000
2016-03-25 00:00,6095.0000000000
2016-03-26 00:00,6046.0000000000
2016-03-27 00:00,5999.0000000000
2016-03-28 00:00,6010.0000000000
2016-03-29 00:00,6047.0000000000
2016-03-30 00:00,6021.0000000000
2016-03-31 00:00,6081.0000000000
2016-04-01 00:00,5936.0000000000
2016-04-02 00:00,6035.0000000000
2016-04-03 00:00,6086.0000000000
2016-04-04 00:00,6033.0000000000
2016-04-05 00:00,6004.0000000000
2016-04-06 00:00,5953.0000000000
2016-04-07 00:00,6102.0000000000
2016-04-08 00:00,5933.0000000000
2016-04-09 00:00,6065.0000000000
2016-04-10 00:00,5937.0000000000
2016-04-11 00:00,6015.0000000000
2016-04-12 00:00,6015.0000000000
2016-04-13 00:00,6021.0000000000
2016-04-14 00:00,6059.0000000000
2016-04-15 00:00,6019.0000000000
2016-04-16 00:00,6015.0000000000
2016-04-17 00:00,6055.0000000000
2016-04-18 00:00,5969.0000000000
2016-04-19 00:00,6050.0000000000
2016-04-20 00:00,5990.0000000000
2016-04-21 00:00,6031.0000000000
2016-04-22 00:00,6051.0000000000
