date,mining_vol
2016-05-20 00:00,30016.0000000000
2016-05-21 00:00,30520.0000000000
2016-05-22 00:00,30175.0000000000
2016-05-23 00:00,30156.0000000000
2016-05-24 00:00,30264.0000000000
2016-05-25 00:00,30207.0000000000
2016-05-26 00:00,30345.0000000000
2016-05-27 00:00,30263.0000000000
2016-05-28 00:00,30119.0000000000
2016-05-29 00:00,30144.0000000000
2016-05-30 00:00,29782.0000000000
2016-05-31 00:00,30301.0000000000
2016-06-01 00:00,30456.0000000000
2016-06-02 00:00,30252.0000000000
2016-06-03 00:00,30183.0000000000
2016-06-04 00:00,29907.0000000000
2016-06-05 00:00,30637.0000000000
2016-06-06 00:00,30094.0000000000
2016-06-07 00:00,30555.0000000000
2016-06-08 00:00,30557.0000000000
2016-06-09 00:00,29603.0000000000
2016-06-10 00:00,30667.0000000000
2016-06-11 00:00,30427.0000000000
2016-06-12 00:00,30526.0000000000
2016-06-13 00:00,30290.0000000000
2016-06-14 00:00,30136.0000000000
2016-06-15 00:00,30185.0000000000
2016-06-16 00:00,29638.0000000000
2016-06-17 00:00,29908.0000000000
2016-06-18 00:00,31244.0000000000
2016-06-19 00:00,29873.0000000000
2016-06-20 00:00,30154.0000000000
2016-06-21 00:00,30823.0000000000
2016-06-22 00:00,30117.0000000000
2016-06-23 00:00,30325.0000000000
2016-06-24 00:00,30084.0000000000
2016-06-25 00:00,30366.0000000000
2016-06-26 00:00,30358.0000000000
2016-06-27 00:00,30438.0000000000
2016-06-28 00:00,30086.0000000000
2016-06-29 00:00,30093.0000000000
2016-06-30 00:00,30758.0000000000
2016-07-01 00:00,30114.0000000000
2016-07-02 00:00,30326.0000000000
2016-07-03 00:00,30432.0000000000
2016-07-04 00:00,29847.0000000000
2016-07-05 00:00,30544.0000000000
2016-07-06 00:00,30274.0000000000
2016-07-07 00:00,30096.0000000000
2016-07-08 00:00,30764.0000000000
2016-07-09 00:00,30325.0000000000
2016-07-10 00:00,30246.0000000000
2016-07-11 00:00,30130.0000000000
2016-07-12 00:00,30522.0000000000
2016-07-13 00:00,30108.0000000000
2016-07-14 00:00,30045.0000000000
2016-07-15 00:00,30498.0000000000
2016-07-16 00:00,30229.0000000000
2016-07-17 00:00,30648.0000000000
2016-07-18 00:00,29955.0000000000
2016-07-19 00:00,29890.0000000000
2016-07-20 00:00,30882.0000000000
2016-07-21 00:00,29896.0000000000
2016-07-22 00:00,30571.0000000000
2016-07-23 00:00,29791.0000000000
2016-07-24 00:00,30259.0000000000
2016-07-25 00:00,29156.0000000000
2016-07-26 00:00,30992.0000000000
2016-07-27 00:00,30544.0000000000
2016-07-28 00:00,30019.0000000000
2016-07-29 00:00,30002.0000000000
2016-07-30 00:00,30254.0000000000
2016-07-31 00:00,29904.0000000000
2016-08-01 00:00,29575.0000000000
2016-08-02 00:00,30021.0000000000
2016-08-03 00:00,31065.0000000000
2016-08-04 00:00,30427.0000000000
2016-08-05 00:00,29981.0000000000
2016-08-06 00:00,30485.0000000000
2016-08-07 00:00,30421.0000000000
2016-08-08 00:00,30759.0000000000
2016-08-09 00:00,30376.0000000000
2016-08-10 00:00,30443.0000000000
2016-08-11 00:00,30179.0000000000
2016-08-12 00:00,30255.0000000000
2016-08-13 00:00,30263.0000000000
2016-08-14 00:00,30549.0000000000
2016-08-15 00:00,30368.0000000000
2016-08-16 00:00,30148.0000000000
2016-08-17 00:00,30625.0000000000
2016-08-18 00:00,30168.0000000000
2016-08-19 00:00,30378.0000000000
2016-08-20 00:00,30538.0000000000
2016-08-21 00:00,30494.0000000000
2016-08-22 00:00,30229.0000000000
2016-08-23 00:00,30373.0000000000
2016-08-24 00:00,30568.0000000000
2016-08-25 00:00,30133.0000000000
2016-08-26 00:00,30484.0000000000
2016-08-27 00:00,30273.0000000000
2016-08-28 00:00,30172.0000000000
2016-08-29 00:00,30230.0000000000
2016-08-30 00:00,30465.0000000000
2016-08-31 00:00,30047.0000000000
2016-09-01 00:00,30561.0000000000
2016-09-02 00:00,29840.0000000000
2016-09-03 00:00,30232.0000000000
2016-09-04 00:00,30480.0000000000
2016-09-05 00:00,30065.0000000000
2016-09-06 00:00,30690.0000000000
2016-09-07 00:00,30193.0000000000
2016-09-08 00:00,30484.0000000000
2016-09-09 00:00,30094.0000000000
2016-09-10 00:00,30568.0000000000
2016-09-11 00:00,30425.0000000000
2016-09-12 00:00,30118.0000000000
2016-09-13 00:00,30572.0000000000
2016-09-14 00:00,30271.0000000000
2016-09-15 00:00,30447.0000000000
2016-09-16 00:00,30332.0000000000
2016-09-17 00:00,28086.0000000000
2016-09-18 00:00,32177.0000000000
2016-09-19 00:00,30942.0000000000
2016-09-20 00:00,30418.0000000000
2016-09-21 00:00,28925.0000000000
2016-09-22 00:00,31314.0000000000
2016-09-23 00:00,29628.0000000000
2016-09-24 00:00,31536.0000000000
2016-09-25 00:00,29467.0000000000
2016-09-26 00:00,30587.0000000000
2016-09-27 00:00,30679.0000000000
2016-09-28 00:00,30743.0000000000
2016-09-29 00:00,30147.0000000000
2016-09-30 00:00,29226.0000000000
2016-10-01 00:00,30653.0000000000
2016-10-02 00:00,31189.0000000000
2016-10-03 00:00,30553.0000000000
2016-10-04 00:00,29341.0000000000
2016-10-05 00:00,29955.0000000000
2016-10-06 00:00,29807.0000000000
2016-10-07 00:00,31274.0000000000
2016-10-08 00:00,30442.0000000000
2016-10-09 00:00,30386.0000000000
2016-10-10 00:00,30388.0000000000
2016-10-11 00:00,29745.0000000000
2016-10-12 00:00,30871.0000000000
2016-10-13 00:00,30580.0000000000
2016-10-14 00:00,30295.0000000000
2016-10-15 00:00,30458.0000000000
2016-10-16 00:00,29978.0000000000
2016-10-17 00:00,30810.0000000000
2016-10-18 00:00,29146.0000000000
2016-10-19 00:00,31676.0000000000
2016-10-20 00:00,30599.0000000000
2016-10-21 00:00,30299.0000000000
2016-10-22 00:00,30051.0000000000
2016-10-23 00:00,30449.0000000000
2016-10-24 00:00,30249.0000000000
2016-10-25 00:00,30580.0000000000
2016-10-26 00:00,30183.0000000000
2016-10-27 00:00,29810.0000000000
2016-10-28 00:00,28427.0000000000
2016-10-29 00:00,30398.0000000000
2016-10-30 00:00,30561.0000000000
2016-10-31 00:00,29292.0000000000
2016-11-01 00:00,29848.0000000000
2016-11-02 00:00,29843.0000000000
2016-11-03 00:00,29602.0000000000
2016-11-04 00:00,30067.0000000000
2016-11-05 00:00,30359.0000000000
2016-11-06 00:00,31677.0000000000
2016-11-07 00:00,30893.0000000000
2016-11-08 00:00,29714.0000000000
2016-11-09 00:00,29925.0000000000
2016-11-10 00:00,30064.0000000000
2016-11-11 00:00,30526.0000000000
2016-11-12 00:00,31110.0000000000
2016-11-13 00:00,30440.0000000000
2016-11-14 00:00,30128.0000000000
2016-11-15 00:00,30318.0000000000
2016-11-16 00:00,29435.0000000000
2016-11-17 00:00,31552.0000000000
2016-11-18 00:00,30845.0000000000
2016-11-19 00:00,30994.0000000000
2016-11-20 00:00,30462.0000000000
2016-11-21 00:00,29714.0000000000
2016-11-22 00:00,29410.0000000000
2016-11-23 00:00,29752.0000000000
2016-11-24 00:00,30744.0000000000
2016-11-25 00:00,29884.0000000000
2016-11-26 00:00,30012.0000000000
2016-11-27 00:00,30494.0000000000
2016-11-28 00:00,30173.0000000000
2016-11-29 00:00,30408.0000000000
2016-11-30 00:00,30377.0000000000
2016-12-01 00:00,30465.0000000000
2016-12-02 00:00,30884.0000000000
2016-12-03 00:00,29996.0000000000
2016-12-04 00:00,30105.0000000000
2016-12-05 00:00,30545.0000000000
2016-12-06 00:00,30458.0000000000
2016-12-07 00:00,31482.0000000000
2016-12-08 00:00,30343.0000000000
2016-12-09 00:00,30461.0000000000
2016-12-10 00:00,30583.0000000000
2016-12-11 00:00,30086.0000000000
2016-12-12 00:00,30445.0000000000
2016-12-13 00:00,30498.0000000000
2016-12-14 00:00,30099.0000000000
2016-12-15 00:00,30465.0000000000
2016-12-16 00:00,30674.0000000000
2016-12-17 00:00,30569.0000000000
2016-12-18 00:00,30254.0000000000
2016-12-19 00:00,30447.0000000000
2016-12-20 00:00,30459.0000000000
2016-12-21 00:00,29875.0000000000
2016-12-22 00:00,29858.0000000000
2016-12-23 00:00,30112.0000000000
2016-12-24 00:00,30720.0000000000
2016-12-25 00:00,30410.0000000000
2016-12-26 00:00,30080.0000000000
2016-12-27 00:00,30368.0000000000
2016-12-28 00:00,30512.0000000000
2016-12-29 00:00,30419.0000000000
2016-12-30 00:00,30049.0000000000
2016-12-31 00:00,30632.0000000000
2017-01-01 00:00,30373.0000000000
2017-01-02 00:00,30275.0000000000
2017-01-03 00:00,30805.0000000000
2017-01-04 00:00,30549.0000000000
2017-01-05 00:00,30134.0000000000
2017-01-06 00:00,30630.0000000000
2017-01-07 00:00,30461.0000000000
2017-01-08 00:00,30504.0000000000
2017-01-09 00:00,30242.0000000000
2017-01-10 00:00,30326.0000000000
2017-01-11 00:00,30374.0000000000
2017-01-12 00:00,30619.0000000000
2017-01-13 00:00,30414.0000000000
2017-01-14 00:00,30512.0000000000
2017-01-15 00:00,30349.0000000000
2017-01-16 00:00,30107.0000000000
2017-01-17 00:00,30415.0000000000
2017-01-18 00:00,30881.0000000000
2017-01-19 00:00,29907.0000000000
2017-01-20 00:00,30318.0000000000
2017-01-21 00:00,30416.0000000000
2017-01-22 00:00,30330.0000000000
2017-01-23 00:00,30281.0000000000
2017-01-24 00:00,30148.0000000000
2017-01-25 00:00,30503.0000000000
2017-01-26 00:00,30012.0000000000
2017-01-27 00:00,30402.0000000000
2017-01-28 00:00,29888.0000000000
2017-01-29 00:00,30566.0000000000
2017-01-30 00:00,30180.0000000000
2017-01-31 00:00,30139.0000000000
2017-02-01 00:00,30322.0000000000
2017-02-02 00:00,30042.0000000000
2017-02-03 00:00,30483.0000000000
2017-02-04 00:00,30472.0000000000
2017-02-05 00:00,30345.0000000000
2017-02-06 00:00,30101.0000000000
2017-02-07 00:00,30439.0000000000
2017-02-08 00:00,30240.0000000000
2017-02-09 00:00,30302.0000000000
2017-02-10 00:00,30288.0000000000
2017-02-11 00:00,30391.0000000000
2017-02-12 00:00,30471.0000000000
2017-02-13 00:00,30223.0000000000
2017-02-14 00:00,30591.0000000000
2017-02-15 00:00,30354.0000000000
2017-02-16 00:00,30153.0000000000
2017-02-17 00:00,30093.0000000000
2017-02-18 00:00,30182.0000000000
2017-02-19 00:00,30172.0000000000
2017-02-20 00:00,30364.0000000000
2017-02-21 00:00,29940.0000000000
2017-02-22 00:00,30187.0000000000
2017-02-23 00:00,30148.0000000000
2017-02-24 00:00,30298.0000000000
2017-02-25 00:00,30543.0000000000
2017-02-26 00:00,30041.0000000000
2017-02-27 00:00,30643.0000000000
2017-02-28 00:00,29904.0000000000
2017-03-01 00:00,30417.0000000000
2017-03-02 00:00,30131.0000000000
2017-03-03 00:00,30022.0000000000
2017-03-04 00:00,30461.0000000000
2017-03-05 00:00,29982.0000000000
2017-03-06 00:00,29986.0000000000
2017-03-07 00:00,30175.0000000000
2017-03-08 00:00,29741.0000000000
2017-03-09 00:00,29875.0000000000
2017-03-10 00:00,30112.0000000000
2017-03-11 00:00,29699.0000000000
2017-03-12 00:00,30338.0000000000
2017-03-13 00:00,29943.0000000000
2017-03-14 00:00,30058.0000000000
2017-03-15 00:00,30101.0000000000
2017-03-16 00:00,30390.0000000000
2017-03-17 00:00,30083.0000000000
2017-03-18 00:00,29861.0000000000
2017-03-19 00:00,30445.0000000000
2017-03-20 00:00,29903.0000000000
2017-03-21 00:00,30160.0000000000
2017-03-22 00:00,29694.0000000000
2017-03-23 00:00,29695.0000000000
2017-03-24 00:00,29923.0000000000
2017-03-25 00:00,30018.0000000000
2017-03-26 00:00,29887.0000000000
2017-03-27 00:00,29609.0000000000
2017-03-28 00:00,30066.0000000000
2017-03-29 00:00,29676.0000000000
2017-03-30 00:00,29991.0000000000
2017-03-31 00:00,29740.0000000000
2017-04-01 00:00,29348.0000000000
2017-04-02 00:00,30026.0000000000
2017-04-03 00:00,29785.0000000000
2017-04-04 00:00,30054.0000000000
2017-04-05 00:00,29530.0000000000
