date,unit_transaction_fee
2016-07-27 00:00,0.0013170900
2016-07-28 00:00,0.0009669600
2016-07-29 00:00,0.0007138700
2016-07-30 00:00,0.0006230200
2016-07-31 00:00,0.0006620900
2016-08-01 00:00,0.0006925600
2016-08-02 00:00,0.0006675300
2016-08-03 00:00,0.0006931400
2016-08-04 00:00,0.0006804700
2016-08-05 00:00,0.0006280200
2016-08-06 00:00,0.0006447700
2016-08-07 00:00,0.0012538800
2016-08-08 00:00,0.0006689100
2016-08-09 00:00,0.0007220200
2016-08-10 00:00,0.0006661000
2016-08-11 00:00,0.0006801800
2016-08-12 00:00,0.0006103400
2016-08-13 00:00,0.0005963500
2016-08-14 00:00,0.0006419400
2016-08-15 00:00,0.0006366700
2016-08-16 00:00,0.0006397100
2016-08-17 00:00,0.0007544400
2016-08-18 00:00,0.0006946200
2016-08-19 00:00,0.0006439700
2016-08-20 00:00,0.0006820700
2016-08-21 00:00,0.0006759200
2016-08-22 00:00,0.0014891300
2016-08-23 00:00,0.0006408100
2016-08-24 00:00,0.0006513800
2016-08-25 00:00,0.0006676800
2016-08-26 00:00,0.0005961900
2016-08-27 00:00,0.0006038300
2016-08-28 00:00,0.0006461600
2016-08-29 00:00,0.0006864000
2016-08-30 00:00,0.0006543100
2016-08-31 00:00,0.0006684100
2016-09-01 00:00,0.0008162300
2016-09-02 00:00,0.0006068200
2016-09-03 00:00,0.0010251000
2016-09-04 00:00,0.0006709800
2016-09-05 00:00,0.0006798100
2016-09-06 00:00,0.0007022300
2016-09-07 00:00,0.0007362300
2016-09-08 00:00,0.0007770500
2016-09-09 00:00,0.0006392300
2016-09-10 00:00,0.0006586200
2016-09-11 00:00,0.0007763200
2016-09-12 00:00,0.0007135800
2016-09-13 00:00,0.0006739700
2016-09-14 00:00,0.0006884400
2016-09-15 00:00,0.0008157500
2016-09-16 00:00,0.0007525600
2016-09-17 00:00,0.0007823400
2016-09-18 00:00,0.0006818300
2016-09-19 00:00,0.0006071300
2016-09-20 00:00,0.0006772800
2016-09-21 00:00,0.0011992000
2016-09-22 00:00,0.0013921700
2016-09-23 00:00,0.0016359500
2016-09-24 00:00,0.0017343100
2016-09-25 00:00,0.0026575200
2016-09-26 00:00,0.0021048100
2016-09-27 00:00,0.0015920000
2016-09-28 00:00,0.0010213600
2016-09-29 00:00,0.0011234200
2016-09-30 00:00,0.0017218600
2016-10-01 00:00,0.0017116800
2016-10-02 00:00,0.0013829400
2016-10-03 00:00,0.0015066100
2016-10-04 00:00,0.0015380500
2016-10-05 00:00,0.0013647500
2016-10-06 00:00,0.0012256300
2016-10-07 00:00,0.0014959000
2016-10-08 00:00,0.0013660300
2016-10-09 00:00,0.0012157700
2016-10-10 00:00,0.0009548300
2016-10-11 00:00,0.0014727800
2016-10-12 00:00,0.0034939400
2016-10-13 00:00,0.0017913300
2016-10-14 00:00,0.0020522500
2016-10-15 00:00,0.0019147500
2016-10-16 00:00,0.0018759000
2016-10-17 00:00,0.0018664200
2016-10-18 00:00,0.0024096500
2016-10-19 00:00,0.0012649100
2016-10-20 00:00,0.0007262800
2016-10-21 00:00,0.0007322800
2016-10-22 00:00,0.0007454800
2016-10-23 00:00,0.0009247100
2016-10-24 00:00,0.0009072900
2016-10-25 00:00,0.0007814600
2016-10-26 00:00,0.0007517900
2016-10-27 00:00,0.0008644100
2016-10-28 00:00,0.0007778500
2016-10-29 00:00,0.0007757400
2016-10-30 00:00,0.0007420400
2016-10-31 00:00,0.0008402400
2016-11-01 00:00,0.0006709100
2016-11-02 00:00,0.0007014400
2016-11-03 00:00,0.0006662600
2016-11-04 00:00,0.0006526400
2016-11-05 00:00,0.0006770000
2016-11-06 00:00,0.0006921600
2016-11-07 00:00,0.0007570100
2016-11-08 00:00,0.0008634800
2016-11-09 00:00,0.0008808200
2016-11-10 00:00,0.0010770800
2016-11-11 00:00,0.0007513800
2016-11-12 00:00,0.0007768300
2016-11-13 00:00,0.0008732500
2016-11-14 00:00,0.0008168400
2016-11-15 00:00,0.0008378300
2016-11-16 00:00,0.0007469400
2016-11-17 00:00,0.0007925400
2016-11-18 00:00,0.0007101300
2016-11-19 00:00,0.0007738000
2016-11-20 00:00,0.0008248900
2016-11-21 00:00,0.0007109200
2016-11-22 00:00,0.0012790500
2016-11-23 00:00,0.0015977100
2016-11-24 00:00,0.0010298700
2016-11-25 00:00,0.0017792100
2016-11-26 00:00,0.0025853500
2016-11-27 00:00,0.0025258200
2016-11-28 00:00,0.0021598200
2016-11-29 00:00,0.0009015200
2016-11-30 00:00,0.0007333600
2016-12-01 00:00,0.0006743600
2016-12-02 00:00,0.0006265000
2016-12-03 00:00,0.0006623900
2016-12-04 00:00,0.0007512100
2016-12-05 00:00,0.0007204200
2016-12-06 00:00,0.0008378700
2016-12-07 00:00,0.0200189200
2016-12-08 00:00,0.0007583200
2016-12-09 00:00,0.0007155900
2016-12-10 00:00,0.0009397100
2016-12-11 00:00,0.0008062900
2016-12-12 00:00,0.0006932800
2016-12-13 00:00,0.0007376500
2016-12-14 00:00,0.0007467800
2016-12-15 00:00,0.0006960700
2016-12-16 00:00,0.0008316400
2016-12-17 00:00,0.0007566400
2016-12-18 00:00,0.0007993900
2016-12-19 00:00,0.0009923300
2016-12-20 00:00,0.0010778500
2016-12-21 00:00,0.0007040500
2016-12-22 00:00,0.0006684600
2016-12-23 00:00,0.0006837800
2016-12-24 00:00,0.0006616700
2016-12-25 00:00,0.0006689000
2016-12-26 00:00,0.0008590500
2016-12-27 00:00,0.0007277800
2016-12-28 00:00,0.0008744100
2016-12-29 00:00,0.0010056100
2016-12-30 00:00,0.0006938100
2016-12-31 00:00,0.0006522700
2017-01-01 00:00,0.0007091300
2017-01-02 00:00,0.0008771300
2017-01-03 00:00,0.0007796000
2017-01-04 00:00,0.0007028300
2017-01-05 00:00,0.0007149800
2017-01-06 00:00,0.0006919600
2017-01-07 00:00,0.0007729100
2017-01-08 00:00,0.0007776700
2017-01-09 00:00,0.0008034500
2017-01-10 00:00,0.0007658900
2017-01-11 00:00,0.0007330300
2017-01-12 00:00,0.0007039300
2017-01-13 00:00,0.0006835500
2017-01-14 00:00,0.0007181500
2017-01-15 00:00,0.0007167800
2017-01-16 00:00,0.0008446900
2017-01-17 00:00,0.0007553100
2017-01-18 00:00,0.0007173200
2017-01-19 00:00,0.0007350700
2017-01-20 00:00,0.0007081400
2017-01-21 00:00,0.0007541000
2017-01-22 00:00,0.0007600200
2017-01-23 00:00,0.0008165200
2017-01-24 00:00,0.0008162600
2017-01-25 00:00,0.0007781300
2017-01-26 00:00,0.0007572700
2017-01-27 00:00,0.0007379000
2017-01-28 00:00,0.0007202800
2017-01-29 00:00,0.0007228000
2017-01-30 00:00,0.0007333300
2017-01-31 00:00,0.0008557400
2017-02-01 00:00,0.0008112600
2017-02-02 00:00,0.0007961900
2017-02-03 00:00,0.0007260900
2017-02-04 00:00,0.0007485900
2017-02-05 00:00,0.0007581600
2017-02-06 00:00,0.0008882300
2017-02-07 00:00,0.0008556400
2017-02-08 00:00,0.0008497800
2017-02-09 00:00,0.0008850600
2017-02-10 00:00,0.0008268000
2017-02-11 00:00,0.0008900600
2017-02-12 00:00,0.0010977500
2017-02-13 00:00,0.0008547800
2017-02-14 00:00,0.0016364400
2017-02-15 00:00,0.0007893700
2017-02-16 00:00,0.0007862700
2017-02-17 00:00,0.0009039400
2017-02-18 00:00,0.0007529500
2017-02-19 00:00,0.0008182000
2017-02-20 00:00,0.0009389300
2017-02-21 00:00,0.0010115600
2017-02-22 00:00,0.0009107500
2017-02-23 00:00,0.0007643900
2017-02-24 00:00,0.0008388100
2017-02-25 00:00,0.0007614500
2017-02-26 00:00,0.0008553500
2017-02-27 00:00,0.0008454700
2017-02-28 00:00,0.0009191800
2017-03-01 00:00,0.0007751300
2017-03-02 00:00,0.0007217300
2017-03-03 00:00,0.0007236600
2017-03-04 00:00,0.0007616700
2017-03-05 00:00,0.0007252100
2017-03-06 00:00,0.0006998500
2017-03-07 00:00,0.0007279400
2017-03-08 00:00,0.0007744200
2017-03-09 00:00,0.0008532300
2017-03-10 00:00,0.0007401100
2017-03-11 00:00,0.0007281600
2017-03-12 00:00,0.0009344700
2017-03-13 00:00,0.0009697700
2017-03-14 00:00,0.0007919200
2017-03-15 00:00,0.0007767100
2017-03-16 00:00,0.0008343100
2017-03-17 00:00,0.0006730400
2017-03-18 00:00,0.0006738100
2017-03-19 00:00,0.0007095200
2017-03-20 00:00,0.0007618100
2017-03-21 00:00,0.0007637100
2017-03-22 00:00,0.0007399700
2017-03-23 00:00,0.0008349600
2017-03-24 00:00,0.0006883500
2017-03-25 00:00,0.0007305600
2017-03-26 00:00,0.0008220300
2017-03-27 00:00,0.0007573600
2017-03-28 00:00,0.0007449200
2017-03-29 00:00,0.0007390700
2017-03-30 00:00,0.0007507200
2017-03-31 00:00,0.0007102100
2017-04-01 00:00,0.0007450100
2017-04-02 00:00,0.0007462000
