date,block_size
2016-03-27 00:00,1567.6601000000
2016-03-28 00:00,1389.4712000000
2016-03-29 00:00,1572.4715000000
2016-03-30 00:00,1405.3876000000
2016-03-31 00:00,1492.6359000000
2016-04-01 00:00,1234.9823000000
2016-04-02 00:00,1244.7133000000
2016-04-03 00:00,1502.0156000000
2016-04-04 00:00,1527.7718000000
2016-04-05 00:00,1336.7710000000
2016-04-06 00:00,1404.4117000000
2016-04-07 00:00,1540.8815000000
2016-04-08 00:00,1317.7905000000
2016-04-09 00:00,1280.9214000000
2016-04-10 00:00,1261.8551000000
2016-04-11 00:00,1451.4587000000
2016-04-12 00:00,1477.3272000000
2016-04-13 00:00,1405.6079000000
2016-04-14 00:00,1412.2192000000
2016-04-15 00:00,1215.2878000000
2016-04-16 00:00,1917.3764000000
2016-04-17 00:00,1350.9483000000
2016-04-18 00:00,1317.1563000000
2016-04-19 00:00,1359.2162000000
2016-04-20 00:00,1504.1751000000
2016-04-21 00:00,1290.7697000000
2016-04-22 00:00,1270.2770000000
2016-04-23 00:00,1433.0179000000
2016-04-24 00:00,1398.7027000000
2016-04-25 00:00,1344.4657000000
2016-04-26 00:00,1313.7857000000
2016-04-27 00:00,1407.9303000000
2016-04-28 00:00,1423.2070000000
2016-04-29 00:00,1588.1065000000
2016-04-30 00:00,1680.5342000000
2016-05-01 00:00,1480.2107000000
2016-05-02 00:00,1446.3124000000
2016-05-03 00:00,1497.9572000000
2016-05-04 00:00,1485.9833000000
2016-05-05 00:00,1625.2632000000
2016-05-06 00:00,1374.8327000000
2016-05-07 00:00,1530.2282000000
2016-05-08 00:00,1459.5817000000
2016-05-09 00:00,1481.1806000000
2016-05-10 00:00,1558.5438000000
2016-05-11 00:00,1679.3848000000
2016-05-12 00:00,1674.2221000000
2016-05-13 00:00,1682.8916000000
2016-05-14 00:00,1539.6884000000
2016-05-15 00:00,1491.4088000000
2016-05-16 00:00,1515.0270000000
2016-05-17 00:00,1688.8397000000
2016-05-18 00:00,1576.2268000000
2016-05-19 00:00,1677.1544000000
2016-05-20 00:00,1672.6700000000
2016-05-21 00:00,1493.9200000000
2016-05-22 00:00,1568.3840000000
2016-05-23 00:00,1528.3171000000
2016-05-24 00:00,1669.8520000000
2016-05-25 00:00,1733.2441000000
2016-05-26 00:00,1726.5808000000
2016-05-27 00:00,2435.9360000000
2016-05-28 00:00,1675.3814000000
2016-05-29 00:00,1543.3301000000
2016-05-30 00:00,1593.7335000000
2016-05-31 00:00,1562.1364000000
2016-06-01 00:00,1453.2372000000
2016-06-02 00:00,1428.5993000000
2016-06-03 00:00,1408.9919000000
2016-06-04 00:00,1396.0748000000
2016-06-05 00:00,1425.6341000000
2016-06-06 00:00,1692.5768000000
2016-06-07 00:00,1436.9470000000
2016-06-08 00:00,1476.5053000000
2016-06-09 00:00,1437.3214000000
2016-06-10 00:00,1381.5247000000
2016-06-11 00:00,1462.5580000000
2016-06-12 00:00,1599.2728000000
2016-06-13 00:00,1713.3838000000
2016-06-14 00:00,1522.9322000000
2016-06-15 00:00,1603.9076000000
2016-06-16 00:00,2137.9072000000
2016-06-17 00:00,2043.8626000000
2016-06-18 00:00,1624.0842000000
2016-06-19 00:00,1708.7948000000
2016-06-20 00:00,1628.5213000000
2016-06-21 00:00,1614.3075000000
2016-06-22 00:00,1513.3547000000
2016-06-23 00:00,1637.7259000000
2016-06-24 00:00,1414.5418000000
2016-06-25 00:00,1452.6180000000
2016-06-26 00:00,1409.6183000000
2016-06-27 00:00,1482.4498000000
2016-06-28 00:00,1792.0389000000
2016-06-29 00:00,2367.0782000000
2016-06-30 00:00,1379.8636000000
2016-07-01 00:00,1382.3923000000
2016-07-02 00:00,1403.6420000000
2016-07-03 00:00,1414.7938000000
2016-07-04 00:00,1470.3533000000
2016-07-05 00:00,1408.6769000000
2016-07-06 00:00,1414.1236000000
2016-07-07 00:00,1580.6401000000
2016-07-08 00:00,1416.7455000000
2016-07-09 00:00,1407.0323000000
2016-07-10 00:00,1420.6436000000
2016-07-11 00:00,1566.6971000000
2016-07-12 00:00,1356.7409000000
2016-07-13 00:00,1536.0575000000
2016-07-14 00:00,1457.4881000000
2016-07-15 00:00,1349.4761000000
2016-07-16 00:00,1263.7885000000
2016-07-17 00:00,1397.4542000000
2016-07-18 00:00,1501.8993000000
2016-07-19 00:00,1717.9260000000
2016-07-20 00:00,1522.1856000000
2016-07-21 00:00,1640.9031000000
2016-07-22 00:00,1496.2165000000
2016-07-23 00:00,1796.8996000000
2016-07-24 00:00,1737.3295000000
2016-07-25 00:00,1946.1141000000
2016-07-26 00:00,1705.6892000000
2016-07-27 00:00,1609.7183000000
2016-07-28 00:00,1598.0201000000
2016-07-29 00:00,1460.2207000000
2016-07-30 00:00,1585.3321000000
2016-07-31 00:00,1560.7133000000
2016-08-01 00:00,1687.3992000000
2016-08-02 00:00,1665.3270000000
2016-08-03 00:00,1616.6416000000
2016-08-04 00:00,1527.0676000000
2016-08-05 00:00,1465.2163000000
2016-08-06 00:00,1473.1901000000
2016-08-07 00:00,1503.8052000000
2016-08-08 00:00,1591.8261000000
2016-08-09 00:00,1606.7876000000
2016-08-10 00:00,1620.5056000000
2016-08-11 00:00,1559.0091000000
2016-08-12 00:00,1430.9405000000
2016-08-13 00:00,1406.0670000000
2016-08-14 00:00,1466.7501000000
2016-08-15 00:00,1621.4440000000
2016-08-16 00:00,1532.2822000000
2016-08-17 00:00,1663.0361000000
2016-08-18 00:00,1490.9460000000
2016-08-19 00:00,1452.6119000000
2016-08-20 00:00,1479.7615000000
2016-08-21 00:00,1525.6454000000
2016-08-22 00:00,2023.0981000000
2016-08-23 00:00,1589.9541000000
2016-08-24 00:00,1663.2396000000
2016-08-25 00:00,1609.8711000000
2016-08-26 00:00,1586.4161000000
2016-08-27 00:00,1450.6734000000
2016-08-28 00:00,1572.1122000000
2016-08-29 00:00,1615.8427000000
2016-08-30 00:00,1537.9681000000
2016-08-31 00:00,1582.8741000000
2016-09-01 00:00,1849.8477000000
2016-09-02 00:00,1513.1199000000
2016-09-03 00:00,1719.1705000000
2016-09-04 00:00,1511.8743000000
2016-09-05 00:00,1722.3224000000
2016-09-06 00:00,1692.2470000000
2016-09-07 00:00,1899.7121000000
2016-09-08 00:00,1853.3866000000
2016-09-09 00:00,1508.3227000000
2016-09-10 00:00,1460.2631000000
2016-09-11 00:00,1584.9979000000
2016-09-12 00:00,1497.2402000000
