date,daily_uncle_block_reward
2016-03-26 00:00,14605.4900000000
2016-03-27 00:00,14215.4500000000
2016-03-28 00:00,15262.4100000000
2016-03-29 00:00,16644.2200000000
2016-03-30 00:00,14624.9100000000
2016-03-31 00:00,16431.1900000000
2016-04-01 00:00,15365.4700000000
2016-04-02 00:00,17118.5300000000
2016-04-03 00:00,16787.9500000000
2016-04-04 00:00,14538.6400000000
2016-04-05 00:00,12172.1800000000
2016-04-06 00:00,14319.2600000000
2016-04-07 00:00,13273.9100000000
2016-04-08 00:00,11793.1900000000
2016-04-09 00:00,12359.0300000000
2016-04-10 00:00,10235.0200000000
2016-04-11 00:00,9780.1000000000
2016-04-12 00:00,9983.4700000000
2016-04-13 00:00,10814.9300000000
2016-04-14 00:00,11667.3100000000
2016-04-15 00:00,11196.5900000000
2016-04-16 00:00,12118.3000000000
2016-04-17 00:00,13908.3700000000
2016-04-18 00:00,12890.8100000000
2016-04-19 00:00,13123.8700000000
2016-04-20 00:00,11708.1600000000
2016-04-21 00:00,11162.7800000000
2016-04-22 00:00,10887.6000000000
2016-04-23 00:00,12425.5200000000
2016-04-24 00:00,12474.4300000000
2016-04-25 00:00,10333.1900000000
2016-04-26 00:00,11177.9500000000
2016-04-27 00:00,10729.8900000000
2016-04-28 00:00,11156.9300000000
2016-04-29 00:00,11786.5900000000
2016-04-30 00:00,11004.3600000000
2016-05-01 00:00,14044.4100000000
2016-05-02 00:00,14175.0000000000
2016-05-03 00:00,14725.7300000000
2016-05-04 00:00,14599.3700000000
2016-05-05 00:00,15176.1000000000
2016-05-06 00:00,14632.9100000000
2016-05-07 00:00,13722.1400000000
2016-05-08 00:00,14422.9200000000
2016-05-09 00:00,14667.3200000000
2016-05-10 00:00,15407.9200000000
2016-05-11 00:00,17010.0800000000
2016-05-12 00:00,19565.3200000000
2016-05-13 00:00,17880.7300000000
2016-05-14 00:00,16833.8600000000
2016-05-15 00:00,16378.4500000000
2016-05-16 00:00,20616.0000000000
2016-05-17 00:00,26275.8600000000
2016-05-18 00:00,25113.8200000000
2016-05-19 00:00,27091.5000000000
2016-05-20 00:00,25184.2000000000
2016-05-21 00:00,24599.4500000000
2016-05-22 00:00,27225.0600000000
2016-05-23 00:00,24086.4400000000
2016-05-24 00:00,26144.7200000000
2016-05-25 00:00,23012.8400000000
2016-05-26 00:00,22015.9100000000
2016-05-27 00:00,24973.5700000000
2016-05-28 00:00,23112.7800000000
2016-05-29 00:00,23484.6000000000
2016-05-30 00:00,23369.4700000000
2016-05-31 00:00,25260.4000000000
2016-06-01 00:00,24336.2500000000
2016-06-02 00:00,28043.7000000000
2016-06-03 00:00,27109.1000000000
2016-06-04 00:00,23544.3300000000
2016-06-05 00:00,24391.3100000000
