date,avg_computing_power
2018-06-21 00:00,284576660625710.0000000000
2018-06-22 00:00,280587950069400.0000000000
2018-06-23 00:00,281651583937920.0000000000
2018-06-24 00:00,282703230904010.0000000000
2018-06-25 00:00,280084554769300.0000000000
2018-06-26 00:00,288118669886060.0000000000
2018-06-27 00:00,279384210616140.0000000000
2018-06-28 00:00,277138107460770.0000000000
2018-06-29 00:00,287707849596300.0000000000
2018-06-30 00:00,276202857180180.0000000000
2018-07-01 00:00,281003779615370.0000000000
2018-07-02 00:00,285346832916490.0000000000
2018-07-03 00:00,282942023631240.0000000000
2018-07-04 00:00,292281984675240.0000000000
2018-07-05 00:00,287550943709950.0000000000
2018-07-06 00:00,290914850023080.0000000000
2018-07-07 00:00,285194237529950.0000000000
2018-07-08 00:00,292696472265610.0000000000
2018-07-09 00:00,285449153712090.0000000000
2018-07-10 00:00,277602232719310.0000000000
2018-07-11 00:00,280759937497240.0000000000
2018-07-12 00:00,278000904190680.0000000000
2018-07-13 00:00,278473943390590.0000000000
2018-07-14 00:00,280157513213910.0000000000
2018-07-15 00:00,280441467460420.0000000000
2018-07-16 00:00,286535924819830.0000000000
2018-07-17 00:00,284175004078060.0000000000
2018-07-18 00:00,280874127921060.0000000000
2018-07-19 00:00,276238140760870.0000000000
2018-07-20 00:00,265322164340400.0000000000
2018-07-21 00:00,277880421532580.0000000000
2018-07-22 00:00,287386862947550.0000000000
2018-07-23 00:00,282587537086624.0000000000
2018-07-24 00:00,289923524232190.0000000000
2018-07-25 00:00,287446738436630.0000000000
2018-07-26 00:00,286943708524390.0000000000
2018-07-27 00:00,288269222891090.0000000000
2018-07-28 00:00,289513506527280.0000000000
2018-07-29 00:00,289051122261160.0000000000
2018-07-30 00:00,290296695483630.0000000000
2018-07-31 00:00,287121077438720.0000000000
2018-08-01 00:00,292708997582800.0000000000
2018-08-02 00:00,285661389432920.0000000000
2018-08-03 00:00,292893660104930.0000000000
2018-08-04 00:00,293021488825789.0000000000
2018-08-05 00:00,293322314183810.0000000000
2018-08-06 00:00,291964735840280.0000000000
2018-08-07 00:00,294987539036720.0000000000
2018-08-08 00:00,295896218514880.0000000000
2018-08-09 00:00,292140993710760.0000000000
2018-08-10 00:00,293378993343790.0000000000
2018-08-11 00:00,285376836426060.0000000000
2018-08-12 00:00,285212763906650.0000000000
2018-08-13 00:00,286506569622020.0000000000
2018-08-14 00:00,283435168990480.0000000000
2018-08-15 00:00,279011407455540.0000000000
2018-08-16 00:00,284915149190260.0000000000
2018-08-17 00:00,280410143006400.0000000000
2018-08-18 00:00,281972283742180.0000000000
2018-08-19 00:00,283814000965380.0000000000
2018-08-20 00:00,286133189308860.0000000000
2018-08-21 00:00,289738343132640.0000000000
2018-08-22 00:00,279100785040120.0000000000
2018-08-23 00:00,282976813869910.0000000000
2018-08-24 00:00,283538993309180.0000000000
2018-08-25 00:00,288803939728600.0000000000
2018-08-26 00:00,285295661808440.0000000000
2018-08-27 00:00,282894027888200.0000000000
2018-08-28 00:00,277999389301250.0000000000
2018-08-29 00:00,279567420332920.0000000000
2018-08-30 00:00,280339005850150.0000000000
2018-08-31 00:00,277535220829300.0000000000
2018-09-01 00:00,274833001808970.0000000000
2018-09-02 00:00,274893788521770.0000000000
2018-09-03 00:00,276767944583180.0000000000
2018-09-04 00:00,276990615172700.0000000000
2018-09-05 00:00,276911713204090.0000000000
2018-09-06 00:00,272275291568140.0000000000
2018-09-07 00:00,271225433331330.0000000000
2018-09-08 00:00,257735414220140.0000000000
2018-09-09 00:00,260720920021680.0000000000
2018-09-10 00:00,255585894661850.0000000000
2018-09-11 00:00,252567872314844.0000000000
2018-09-12 00:00,246303571733460.0000000000
2018-09-13 00:00,253579145858140.0000000000
2018-09-14 00:00,254425591793690.0000000000
2018-09-15 00:00,253288140325948.0000000000
2018-09-16 00:00,254251199957420.0000000000
2018-09-17 00:00,253593354357260.0000000000
2018-09-18 00:00,257703610399320.0000000000
2018-09-19 00:00,256659439718810.0000000000
2018-09-20 00:00,255386971277330.0000000000
