date,on_chain_transaction_vol
2015-12-29 00:00,215262.7909226400
2015-12-30 00:00,389572.1034961400
2015-12-31 00:00,344563.4075245700
2016-01-01 00:00,259259.3697808700
2016-01-02 00:00,370839.4418146500
2016-01-03 00:00,154146.7823646500
2016-01-04 00:00,1036350.9913523300
2016-01-05 00:00,261940.5577414000
2016-01-06 00:00,350295.3356066800
2016-01-07 00:00,196319.5401039700
2016-01-08 00:00,210817.9726976800
2016-01-09 00:00,140928.2235112100
2016-01-10 00:00,504583.0362632200
2016-01-11 00:00,990482.1848875800
2016-01-12 00:00,423286.0552534300
2016-01-13 00:00,332525.8243713600
2016-01-14 00:00,945400.9348616300
2016-01-15 00:00,571239.4336821100
2016-01-16 00:00,370972.3182306400
2016-01-17 00:00,2265969.4156801300
2016-01-18 00:00,1240760.9464523600
