date,new_addresses
2016-03-24 00:00,1585.0000000000
2016-03-25 00:00,2242.0000000000
2016-03-26 00:00,1115.0000000000
2016-03-27 00:00,2376.0000000000
2016-03-28 00:00,1887.0000000000
2016-03-29 00:00,3061.0000000000
2016-03-30 00:00,2182.0000000000
2016-03-31 00:00,2072.0000000000
2016-04-01 00:00,1313.0000000000
2016-04-02 00:00,1168.0000000000
2016-04-03 00:00,1945.0000000000
2016-04-04 00:00,1252.0000000000
2016-04-05 00:00,1678.0000000000
2016-04-06 00:00,1707.0000000000
2016-04-07 00:00,1366.0000000000
2016-04-08 00:00,1108.0000000000
2016-04-09 00:00,1252.0000000000
2016-04-10 00:00,1087.0000000000
2016-04-11 00:00,1429.0000000000
2016-04-12 00:00,1349.0000000000
2016-04-13 00:00,1107.0000000000
2016-04-14 00:00,962.0000000000
2016-04-15 00:00,798.0000000000
2016-04-16 00:00,886.0000000000
2016-04-17 00:00,1026.0000000000
2016-04-18 00:00,905.0000000000
2016-04-19 00:00,1093.0000000000
2016-04-20 00:00,2045.0000000000
2016-04-21 00:00,1075.0000000000
2016-04-22 00:00,1011.0000000000
2016-04-23 00:00,1238.0000000000
2016-04-24 00:00,1141.0000000000
2016-04-25 00:00,1207.0000000000
2016-04-26 00:00,1247.0000000000
2016-04-27 00:00,1173.0000000000
2016-04-28 00:00,1195.0000000000
2016-04-29 00:00,6065.0000000000
2016-04-30 00:00,2606.0000000000
2016-05-01 00:00,3989.0000000000
2016-05-02 00:00,1593.0000000000
2016-05-03 00:00,1689.0000000000
2016-05-04 00:00,1597.0000000000
2016-05-05 00:00,1513.0000000000
2016-05-06 00:00,1366.0000000000
2016-05-07 00:00,1709.0000000000
2016-05-08 00:00,1789.0000000000
2016-05-09 00:00,1594.0000000000
2016-05-10 00:00,2664.0000000000
2016-05-11 00:00,3201.0000000000
2016-05-12 00:00,2801.0000000000
2016-05-13 00:00,2324.0000000000
2016-05-14 00:00,2441.0000000000
2016-05-15 00:00,1780.0000000000
2016-05-16 00:00,2510.0000000000
2016-05-17 00:00,3853.0000000000
2016-05-18 00:00,3524.0000000000
2016-05-19 00:00,5093.0000000000
2016-05-20 00:00,4161.0000000000
2016-05-21 00:00,2258.0000000000
2016-05-22 00:00,2599.0000000000
2016-05-23 00:00,2316.0000000000
2016-05-24 00:00,2713.0000000000
2016-05-25 00:00,2731.0000000000
2016-05-26 00:00,4100.0000000000
2016-05-27 00:00,12812.0000000000
2016-05-28 00:00,3303.0000000000
2016-05-29 00:00,2416.0000000000
2016-05-30 00:00,2734.0000000000
2016-05-31 00:00,2436.0000000000
2016-06-01 00:00,2021.0000000000
2016-06-02 00:00,2022.0000000000
2016-06-03 00:00,1814.0000000000
2016-06-04 00:00,1781.0000000000
2016-06-05 00:00,2132.0000000000
2016-06-06 00:00,6274.0000000000
2016-06-07 00:00,2217.0000000000
2016-06-08 00:00,2330.0000000000
2016-06-09 00:00,2506.0000000000
2016-06-10 00:00,2476.0000000000
2016-06-11 00:00,2874.0000000000
2016-06-12 00:00,4914.0000000000
2016-06-13 00:00,4227.0000000000
2016-06-14 00:00,2927.0000000000
2016-06-15 00:00,5539.0000000000
2016-06-16 00:00,14069.0000000000
2016-06-17 00:00,14749.0000000000
2016-06-18 00:00,6469.0000000000
2016-06-19 00:00,5706.0000000000
2016-06-20 00:00,4392.0000000000
2016-06-21 00:00,5709.0000000000
2016-06-22 00:00,3503.0000000000
2016-06-23 00:00,3790.0000000000
2016-06-24 00:00,2327.0000000000
2016-06-25 00:00,2399.0000000000
2016-06-26 00:00,2653.0000000000
2016-06-27 00:00,3321.0000000000
2016-06-28 00:00,2911.0000000000
2016-06-29 00:00,2102.0000000000
2016-06-30 00:00,2960.0000000000
2016-07-01 00:00,2570.0000000000
2016-07-02 00:00,3238.0000000000
2016-07-03 00:00,2841.0000000000
2016-07-04 00:00,3898.0000000000
2016-07-05 00:00,3039.0000000000
2016-07-06 00:00,3098.0000000000
2016-07-07 00:00,3083.0000000000
2016-07-08 00:00,4011.0000000000
2016-07-09 00:00,3116.0000000000
2016-07-10 00:00,2525.0000000000
2016-07-11 00:00,3656.0000000000
2016-07-12 00:00,2816.0000000000
2016-07-13 00:00,3117.0000000000
2016-07-14 00:00,3494.0000000000
2016-07-15 00:00,2225.0000000000
2016-07-16 00:00,1465.0000000000
2016-07-17 00:00,2491.0000000000
2016-07-18 00:00,2930.0000000000
2016-07-19 00:00,4744.0000000000
2016-07-20 00:00,3374.0000000000
2016-07-21 00:00,4433.0000000000
2016-07-22 00:00,3767.0000000000
2016-07-23 00:00,3806.0000000000
2016-07-24 00:00,4509.0000000000
2016-07-25 00:00,5286.0000000000
2016-07-26 00:00,5687.0000000000
2016-07-27 00:00,3487.0000000000
2016-07-28 00:00,4894.0000000000
2016-07-29 00:00,2383.0000000000
2016-07-30 00:00,2646.0000000000
2016-07-31 00:00,2717.0000000000
2016-08-01 00:00,3894.0000000000
2016-08-02 00:00,3223.0000000000
2016-08-03 00:00,2918.0000000000
2016-08-04 00:00,2350.0000000000
2016-08-05 00:00,1936.0000000000
2016-08-06 00:00,1914.0000000000
2016-08-07 00:00,2360.0000000000
2016-08-08 00:00,3264.0000000000
2016-08-09 00:00,2938.0000000000
2016-08-10 00:00,2662.0000000000
2016-08-11 00:00,2344.0000000000
2016-08-12 00:00,1772.0000000000
2016-08-13 00:00,1696.0000000000
2016-08-14 00:00,1745.0000000000
2016-08-15 00:00,1858.0000000000
2016-08-16 00:00,1824.0000000000
2016-08-17 00:00,1839.0000000000
2016-08-18 00:00,1696.0000000000
2016-08-19 00:00,1800.0000000000
2016-08-20 00:00,2132.0000000000
2016-08-21 00:00,1609.0000000000
2016-08-22 00:00,2778.0000000000
2016-08-23 00:00,1943.0000000000
2016-08-24 00:00,2243.0000000000
2016-08-25 00:00,1919.0000000000
2016-08-26 00:00,1480.0000000000
2016-08-27 00:00,1650.0000000000
2016-08-28 00:00,1865.0000000000
2016-08-29 00:00,1942.0000000000
2016-08-30 00:00,2100.0000000000
2016-08-31 00:00,2413.0000000000
2016-09-01 00:00,2091.0000000000
2016-09-02 00:00,1872.0000000000
2016-09-03 00:00,1922.0000000000
2016-09-04 00:00,1792.0000000000
2016-09-05 00:00,2049.0000000000
2016-09-06 00:00,1871.0000000000
2016-09-07 00:00,2295.0000000000
2016-09-08 00:00,2159.0000000000
2016-09-09 00:00,2013.0000000000
2016-09-10 00:00,1803.0000000000
2016-09-11 00:00,2552.0000000000
2016-09-12 00:00,2056.0000000000
2016-09-13 00:00,1972.0000000000
2016-09-14 00:00,1903.0000000000
2016-09-15 00:00,1905.0000000000
2016-09-16 00:00,1871.0000000000
2016-09-17 00:00,1678.0000000000
2016-09-18 00:00,1064.0000000000
2016-09-19 00:00,2541.0000000000
2016-09-20 00:00,3048.0000000000
2016-09-21 00:00,1804.0000000000
2016-09-22 00:00,1606.0000000000
2016-09-23 00:00,1651.0000000000
2016-09-24 00:00,2156.0000000000
2016-09-25 00:00,1824.0000000000
2016-09-26 00:00,1892.0000000000
2016-09-27 00:00,1870.0000000000
2016-09-28 00:00,4035.0000000000
2016-09-29 00:00,2362.0000000000
2016-09-30 00:00,1917.0000000000
2016-10-01 00:00,2188.0000000000
2016-10-02 00:00,2373.0000000000
2016-10-03 00:00,40316.0000000000
