date,avg_gas_cost
2018-12-09 00:00,6925585236.7801000000
2018-12-10 00:00,6388174241.1524000000
2018-12-11 00:00,7448091170.0994000000
2018-12-12 00:00,6481853904.3505000000
2018-12-13 00:00,6458576833.9115000000
2018-12-14 00:00,6050526029.2275000000
2018-12-15 00:00,5774081800.8518000000
2018-12-16 00:00,6243625417.6374000000
2018-12-17 00:00,7467537395.2058000000
2018-12-18 00:00,6511032751.3476000000
2018-12-19 00:00,6181378429.1476000000
2018-12-20 00:00,6350962777.9101000000
2018-12-21 00:00,5480043963.7860000000
2018-12-22 00:00,5627702717.9475000000
2018-12-23 00:00,6062532620.3967000000
2018-12-24 00:00,7222870704.0791000000
2018-12-25 00:00,6065101080.5833000000
2018-12-26 00:00,5227035424.2549000000
2018-12-27 00:00,5061597415.9726000000
2018-12-28 00:00,4671121632.1614000000
2018-12-29 00:00,7922290860.1422000000
2018-12-30 00:00,4680732771.7034000000
2018-12-31 00:00,5334340482.9882000000
2019-01-01 00:00,5138271332.4933000000
2019-01-02 00:00,4847570448.4604000000
2019-01-03 00:00,5417810421.2766000000
2019-01-04 00:00,4964323031.8162000000
2019-01-05 00:00,4861185466.4428000000
2019-01-06 00:00,4911098484.4310000000
2019-01-07 00:00,5076203048.1947000000
2019-01-08 00:00,4850219809.6699000000
2019-01-09 00:00,5244256215.9488000000
2019-01-10 00:00,5212933592.0674000000
2019-01-11 00:00,4713579856.4431000000
2019-01-12 00:00,5154102645.2972000000
2019-01-13 00:00,6784796949.6124000000
2019-01-14 00:00,5703607613.8987000000
2019-01-15 00:00,5378337713.6275000000
2019-01-16 00:00,5094770094.2372000000
2019-01-17 00:00,5064800074.8834000000
2019-01-18 00:00,4069182067.0570000000
2019-01-19 00:00,3414177286.4654000000
2019-01-20 00:00,3626690566.6029000000
2019-01-21 00:00,5282193201.2758000000
2019-01-22 00:00,4304422955.4322000000
2019-01-23 00:00,4275292248.7255000000
2019-01-24 00:00,3962208847.6449000000
2019-01-25 00:00,3082858300.6805000000
2019-01-26 00:00,2931771266.6894000000
2019-01-27 00:00,3551716225.0596000000
