date,supply
2018-05-19 00:00,97773566.9057300000
2018-05-20 00:00,97790769.1869800000
2018-05-21 00:00,97807717.4994800000
2018-05-22 00:00,97824835.6869800000
2018-05-23 00:00,97841667.4682300000
2018-05-24 00:00,97858718.0619800000
2018-05-25 00:00,97876013.3432300000
2018-05-26 00:00,97893053.1557300000
2018-05-27 00:00,97910304.5619800000
2018-05-28 00:00,97927396.6869800000
2018-05-29 00:00,97944375.8432300000
2018-05-30 00:00,97961466.2807300000
2018-05-31 00:00,97978482.1869800000
2018-06-01 00:00,97995530.0619800000
2018-06-02 00:00,98012533.2182300000
2018-06-03 00:00,98029703.1557300000
2018-06-04 00:00,98046619.8744800000
2018-06-05 00:00,98063669.3432300000
2018-06-06 00:00,98080743.0932300000
2018-06-07 00:00,98097929.3432300000
2018-06-08 00:00,98114920.5932300000
2018-06-09 00:00,98131986.2807300000
2018-06-10 00:00,98149113.5619800000
2018-06-11 00:00,98166395.0619800000
2018-06-12 00:00,98183781.4682300000
2018-06-13 00:00,98201203.0307300000
2018-06-14 00:00,98218675.9682300000
2018-06-15 00:00,98236407.0932300000
2018-06-16 00:00,98254260.3744800000
2018-06-17 00:00,98272231.4994800000
2018-06-18 00:00,98289759.5619800000
2018-06-19 00:00,98307352.4994800000
2018-06-20 00:00,98325080.6244800000
2018-06-21 00:00,98342667.3744800000
2018-06-22 00:00,98360547.9369800000
2018-06-23 00:00,98378299.9682300000
2018-06-24 00:00,98395438.2182300000
2018-06-25 00:00,98412818.1557300000
2018-06-26 00:00,98430480.3744800000
2018-06-27 00:00,98447890.3119800000
2018-06-28 00:00,98465306.6244800000
2018-06-29 00:00,98483038.2182300000
2018-06-30 00:00,98500667.6244800000
2018-07-01 00:00,98518569.9369800000
2018-07-02 00:00,98536121.1557300000
2018-07-03 00:00,98553751.8744800000
2018-07-04 00:00,98571296.2494800000
2018-07-05 00:00,98588943.7494800000
2018-07-06 00:00,98606526.6557300000
2018-07-07 00:00,98623752.6557300000
2018-07-08 00:00,98641440.1869800000
2018-07-09 00:00,98658907.8744800000
2018-07-10 00:00,98676814.6869800000
2018-07-11 00:00,98694892.4994800000
2018-07-12 00:00,98712846.7494800000
2018-07-13 00:00,98730960.1869800000
2018-07-14 00:00,98749255.6869800000
2018-07-15 00:00,98766919.4994800000
2018-07-16 00:00,98784706.8744800000
2018-07-17 00:00,98802099.3744800000
2018-07-18 00:00,98819597.7182300000
2018-07-19 00:00,98837217.1869800000
2018-07-20 00:00,98855310.0932300000
2018-07-21 00:00,98873347.5932300000
2018-07-22 00:00,98891045.9057300000
2018-07-23 00:00,98908614.6557300000
2018-07-24 00:00,98926437.0932300000
2018-07-25 00:00,98944103.9057300000
2018-07-26 00:00,98961940.2182300000
2018-07-27 00:00,98980010.3432300000
2018-07-28 00:00,98998135.8744800000
2018-07-29 00:00,99016122.1869800000
2018-07-30 00:00,99033990.5619800000
2018-07-31 00:00,99051685.5932300000
2018-08-01 00:00,99069365.9057300000
2018-08-02 00:00,99087224.5307300000
2018-08-03 00:00,99105335.4369800000
2018-08-04 00:00,99123240.9369800000
2018-08-05 00:00,99141115.6869800000
2018-08-06 00:00,99158853.3744800000
2018-08-07 00:00,99176831.1557300000
2018-08-08 00:00,99194729.7182300000
2018-08-09 00:00,99212612.9994800000
2018-08-10 00:00,99230559.3744800000
2018-08-11 00:00,99248179.2182300000
2018-08-12 00:00,99265904.7182300000
2018-08-13 00:00,99283857.8432300000
2018-08-14 00:00,99301848.1869800000
2018-08-15 00:00,99319768.9682300000
2018-08-16 00:00,99337403.9994800000
2018-08-17 00:00,99355161.2807300000
2018-08-18 00:00,99373053.6557300000
2018-08-19 00:00,99390951.2807300000
2018-08-20 00:00,99408934.4057300000
2018-08-21 00:00,99426798.0932300000
2018-08-22 00:00,99444463.6869800000
2018-08-23 00:00,99462412.1244800000
2018-08-24 00:00,99480289.8744800000
2018-08-25 00:00,99498228.6557300000
2018-08-26 00:00,99516158.9994800000
2018-08-27 00:00,99533956.5932300000
2018-08-28 00:00,99551726.0619800000
2018-08-29 00:00,99569561.9994800000
