date,daily_block_reward
2016-03-16 00:00,381772.9119000000
2016-03-17 00:00,325210.5699000000
2016-03-18 00:00,302075.3395000000
2016-03-19 00:00,320997.4263000000
2016-03-20 00:00,325148.5938000000
2016-03-21 00:00,352635.9156000000
2016-03-22 00:00,356656.2586000000
2016-03-23 00:00,350944.0071000000
2016-03-24 00:00,324940.5720000000
2016-03-25 00:00,335569.1352000000
2016-03-26 00:00,331173.8253000000
2016-03-27 00:00,341758.1326000000
2016-03-28 00:00,347138.9113000000
2016-03-29 00:00,361353.5236000000
2016-03-30 00:00,360416.5537000000
2016-03-31 00:00,354755.7620000000
2016-04-01 00:00,341909.6907000000
2016-04-02 00:00,349318.9047000000
2016-04-03 00:00,352653.8164000000
2016-04-04 00:00,327075.6968000000
2016-04-05 00:00,309346.3228000000
2016-04-06 00:00,319119.7373000000
2016-04-07 00:00,303411.4481000000
2016-04-08 00:00,294766.1333000000
2016-04-09 00:00,270524.7394000000
2016-04-10 00:00,248914.5102000000
2016-04-11 00:00,236186.6633000000
2016-04-12 00:00,223754.3240000000
2016-04-13 00:00,264025.8144000000
2016-04-14 00:00,258167.1872000000
2016-04-15 00:00,246404.2804000000
2016-04-16 00:00,268087.2180000000
2016-04-17 00:00,279123.4520000000
2016-04-18 00:00,272797.9897000000
2016-04-19 00:00,263625.3425000000
2016-04-20 00:00,258898.1866000000
2016-04-21 00:00,248782.7931000000
2016-04-22 00:00,240796.8216000000
2016-04-23 00:00,245538.1700000000
2016-04-24 00:00,247404.8891000000
2016-04-25 00:00,211260.5327000000
2016-04-26 00:00,227400.6502000000
2016-04-27 00:00,221681.7776000000
2016-04-28 00:00,230312.7082000000
2016-04-29 00:00,234043.4963000000
2016-04-30 00:00,263437.3232000000
2016-05-01 00:00,296783.9320000000
2016-05-02 00:00,296606.2974000000
2016-05-03 00:00,296583.0500000000
2016-05-04 00:00,290440.1423000000
2016-05-05 00:00,294912.4339000000
2016-05-06 00:00,281752.4721000000
2016-05-07 00:00,273592.1644000000
2016-05-08 00:00,289206.1544000000
2016-05-09 00:00,282221.9997000000
2016-05-10 00:00,284223.9848000000
2016-05-11 00:00,309021.0108000000
2016-05-12 00:00,332336.5208000000
2016-05-13 00:00,298038.4882000000
2016-05-14 00:00,306172.3614000000
2016-05-15 00:00,299924.6438000000
2016-05-16 00:00,357341.9382000000
2016-05-17 00:00,398583.5555000000
2016-05-18 00:00,426270.4617000000
2016-05-19 00:00,448530.4096000000
2016-05-20 00:00,406694.6584000000
2016-05-21 00:00,425529.4679000000
2016-05-22 00:00,424559.8648000000
2016-05-23 00:00,387398.2584000000
2016-05-24 00:00,372359.5056000000
2016-05-25 00:00,371246.3357000000
2016-05-26 00:00,331656.3526000000
2016-05-27 00:00,353900.4795000000
2016-05-28 00:00,368092.0717000000
2016-05-29 00:00,374321.4180000000
2016-05-30 00:00,390742.3587000000
2016-05-31 00:00,408502.8669000000
2016-06-01 00:00,423242.8879000000
2016-06-02 00:00,414860.6153000000
2016-06-03 00:00,412734.4777000000
2016-06-04 00:00,414360.6706000000
2016-06-05 00:00,424599.2638000000
2016-06-06 00:00,418755.6214000000
2016-06-07 00:00,443954.0153000000
2016-06-08 00:00,442286.8272000000
2016-06-09 00:00,419674.4841000000
2016-06-10 00:00,423254.6110000000
2016-06-11 00:00,437909.5447000000
2016-06-12 00:00,509705.1481000000
2016-06-13 00:00,561716.3907000000
2016-06-14 00:00,546029.4487000000
2016-06-15 00:00,586114.9722000000
2016-06-16 00:00,524322.8866000000
2016-06-17 00:00,394267.2511000000
2016-06-18 00:00,390385.6077000000
2016-06-19 00:00,338105.1268000000
2016-06-20 00:00,377708.0704000000
2016-06-21 00:00,424178.2014000000
