date,unit_computing_income
2016-09-01 00:00,0.0740000000
2016-09-02 00:00,0.0743000000
2016-09-03 00:00,0.0760000000
2016-09-04 00:00,0.0739000000
2016-09-05 00:00,0.0727000000
2016-09-06 00:00,0.0723000000
2016-09-07 00:00,0.0715000000
2016-09-08 00:00,0.0723000000
2016-09-09 00:00,0.0716000000
2016-09-10 00:00,0.0713000000
2016-09-11 00:00,0.0707000000
2016-09-12 00:00,0.0716000000
2016-09-13 00:00,0.0702000000
2016-09-14 00:00,0.0701000000
2016-09-15 00:00,0.0719000000
2016-09-16 00:00,0.0714000000
2016-09-17 00:00,0.0753000000
2016-09-18 00:00,0.0860000000
2016-09-19 00:00,0.0777000000
2016-09-20 00:00,0.0752000000
2016-09-21 00:00,0.0772000000
2016-09-22 00:00,0.0767000000
2016-09-23 00:00,0.0728000000
2016-09-24 00:00,0.0723000000
2016-09-25 00:00,0.0713000000
2016-09-26 00:00,0.0749000000
2016-09-27 00:00,0.0692000000
2016-09-28 00:00,0.0668000000
2016-09-29 00:00,0.0673000000
2016-09-30 00:00,0.0708000000
2016-10-01 00:00,0.0717000000
2016-10-02 00:00,0.0684000000
2016-10-03 00:00,0.0653000000
2016-10-04 00:00,0.0668000000
2016-10-05 00:00,0.0641000000
2016-10-06 00:00,0.0726000000
2016-10-07 00:00,0.0664000000
2016-10-08 00:00,0.0601000000
2016-10-09 00:00,0.0574000000
2016-10-10 00:00,0.0560000000
2016-10-11 00:00,0.0585000000
2016-10-12 00:00,0.0601000000
2016-10-13 00:00,0.0546000000
2016-10-14 00:00,0.0525000000
2016-10-15 00:00,0.0527000000
2016-10-16 00:00,0.0543000000
2016-10-17 00:00,0.0565000000
2016-10-18 00:00,0.0552000000
2016-10-19 00:00,0.0548000000
2016-10-20 00:00,0.0501000000
2016-10-21 00:00,0.0493000000
2016-10-22 00:00,0.0498000000
2016-10-23 00:00,0.0499000000
2016-10-24 00:00,0.0468000000
2016-10-25 00:00,0.0467000000
2016-10-26 00:00,0.0464000000
2016-10-27 00:00,0.0471000000
2016-10-28 00:00,0.0533000000
2016-10-29 00:00,0.0591000000
2016-10-30 00:00,0.0580000000
2016-10-31 00:00,0.0621000000
2016-11-01 00:00,0.0716000000
2016-11-02 00:00,0.0754000000
2016-11-03 00:00,0.0816000000
2016-11-04 00:00,0.0887000000
2016-11-05 00:00,0.0904000000
2016-11-06 00:00,0.0789000000
2016-11-07 00:00,0.0685000000
2016-11-08 00:00,0.0660000000
2016-11-09 00:00,0.0719000000
2016-11-10 00:00,0.0731000000
2016-11-11 00:00,0.0711000000
2016-11-12 00:00,0.0663000000
2016-11-13 00:00,0.0627000000
2016-11-14 00:00,0.0615000000
2016-11-15 00:00,0.0637000000
2016-11-16 00:00,0.0637000000
