date,mining_difficulty
2020-02-07 00:00,2142113384249032.5000000000
2020-02-08 00:00,2114044934169077.2000000000
2020-02-09 00:00,2115393973843477.8000000000
2020-02-10 00:00,2144844448104153.0000000000
2020-02-11 00:00,2164395259068397.2000000000
2020-02-12 00:00,2195762536568489.5000000000
2020-02-13 00:00,2201248443070209.5000000000
2020-02-14 00:00,2215859921854334.0000000000
2020-02-15 00:00,2217224458990690.5000000000
2020-02-16 00:00,2233264117688663.0000000000
2020-02-17 00:00,2242189349936208.0000000000
2020-02-18 00:00,2314349598997353.0000000000
2020-02-19 00:00,2269276533749295.0000000000
2020-02-20 00:00,2236946780324409.8000000000
2020-02-21 00:00,2278217539553682.5000000000
2020-02-22 00:00,2265292035721439.5000000000
2020-02-23 00:00,2312523784869009.0000000000
2020-02-24 00:00,2250327706546989.0000000000
2020-02-25 00:00,2253688236794041.0000000000
2020-02-26 00:00,2341555874782338.5000000000
2020-02-27 00:00,2286565472767019.5000000000
2020-02-28 00:00,2296406980731180.0000000000
2020-02-29 00:00,2276237698688887.0000000000
2020-03-01 00:00,2242799637593064.0000000000
2020-03-02 00:00,2260148197689883.5000000000
2020-03-03 00:00,2282852690570206.0000000000
2020-03-04 00:00,2313319994162737.5000000000
2020-03-05 00:00,2224908774792821.5000000000
2020-03-06 00:00,2272278721586821.5000000000
2020-03-07 00:00,2322139559580108.5000000000
2020-03-08 00:00,2303810132604557.0000000000
2020-03-09 00:00,2287044580624140.0000000000
2020-03-10 00:00,2248362673637864.5000000000
2020-03-11 00:00,2284570431755362.5000000000
2020-03-12 00:00,2239735096573241.0000000000
2020-03-13 00:00,2175551635733915.8000000000
2020-03-14 00:00,2182442413338483.5000000000
2020-03-15 00:00,2203461915246331.2000000000
2020-03-16 00:00,2133804739911223.8000000000
2020-03-17 00:00,2180506634833789.2000000000
2020-03-18 00:00,2190931137541750.2000000000
2020-03-19 00:00,2190259705600814.2000000000
2020-03-20 00:00,2227485380177628.0000000000
2020-03-21 00:00,2159406706173125.2000000000
2020-03-22 00:00,2159854757974335.8000000000
2020-03-23 00:00,2232214894446788.2000000000
2020-03-24 00:00,2192031287369517.5000000000
2020-03-25 00:00,2216966943136475.0000000000
2020-03-26 00:00,2201867541809096.8000000000
2020-03-27 00:00,2218397790224229.0000000000
2020-03-28 00:00,2237588259512965.2000000000
2020-03-29 00:00,2256529562712548.0000000000
2020-03-30 00:00,2193623151656620.5000000000
2020-03-31 00:00,2188530904476275.5000000000
2020-04-01 00:00,2261717269664525.0000000000
2020-04-02 00:00,2225425825147038.5000000000
2020-04-03 00:00,2190117896213537.2000000000
2020-04-04 00:00,2214274585765484.8000000000
2020-04-05 00:00,2145131730535137.2000000000
2020-04-06 00:00,2176478157323565.8000000000
2020-04-07 00:00,2205702004652934.8000000000
2020-04-08 00:00,2214325418377371.0000000000
2020-04-09 00:00,2247413243237289.5000000000
2020-04-10 00:00,2197969953807986.8000000000
2020-04-11 00:00,2234383334946068.0000000000
2020-04-12 00:00,2214842355069977.2000000000
2020-04-13 00:00,2271633373597665.0000000000
2020-04-14 00:00,2247949723296184.5000000000
2020-04-15 00:00,2270284581069967.5000000000
2020-04-16 00:00,2242992171498213.0000000000
2020-04-17 00:00,2255731829657810.0000000000
2020-04-18 00:00,2192807608984151.8000000000
2020-04-19 00:00,2184858646375465.5000000000
2020-04-20 00:00,2232084514798709.0000000000
2020-04-21 00:00,2204262872606279.5000000000
2020-04-22 00:00,2262508930767216.0000000000
2020-04-23 00:00,2228822008542060.8000000000
2020-04-24 00:00,2216500133991546.2000000000
2020-04-25 00:00,2226631842248009.5000000000
2020-04-26 00:00,2177220308038376.2000000000
2020-04-27 00:00,2178617372809573.2000000000
2020-04-28 00:00,2237997231738034.2000000000
2020-04-29 00:00,2276654186112156.5000000000
2020-04-30 00:00,2318620367470844.0000000000
2020-05-01 00:00,2330872859711238.5000000000
2020-05-02 00:00,2279570421156620.0000000000
2020-05-03 00:00,2338904189751968.5000000000
2020-05-04 00:00,2353753725903268.5000000000
2020-05-05 00:00,2303111763010414.0000000000
2020-05-06 00:00,2243523414199413.0000000000
2020-05-07 00:00,2274344642909114.0000000000
