date,activate_address
2016-04-10 00:00,12535.0000000000
2016-04-11 00:00,14005.0000000000
2016-04-12 00:00,13958.0000000000
2016-04-13 00:00,13316.0000000000
2016-04-14 00:00,15813.0000000000
2016-04-15 00:00,12190.0000000000
2016-04-16 00:00,12763.0000000000
2016-04-17 00:00,13524.0000000000
2016-04-18 00:00,13252.0000000000
2016-04-19 00:00,13533.0000000000
2016-04-20 00:00,14288.0000000000
2016-04-21 00:00,13119.0000000000
2016-04-22 00:00,12824.0000000000
2016-04-23 00:00,14108.0000000000
2016-04-24 00:00,16117.0000000000
2016-04-25 00:00,14007.0000000000
2016-04-26 00:00,13496.0000000000
2016-04-27 00:00,13980.0000000000
2016-04-28 00:00,15715.0000000000
2016-04-29 00:00,19946.0000000000
2016-04-30 00:00,16434.0000000000
2016-05-01 00:00,17853.0000000000
2016-05-02 00:00,15179.0000000000
2016-05-03 00:00,15291.0000000000
2016-05-04 00:00,15088.0000000000
2016-05-05 00:00,17365.0000000000
2016-05-06 00:00,14497.0000000000
2016-05-07 00:00,15693.0000000000
2016-05-08 00:00,15608.0000000000
2016-05-09 00:00,15675.0000000000
2016-05-10 00:00,17226.0000000000
2016-05-11 00:00,18924.0000000000
2016-05-12 00:00,19050.0000000000
2016-05-13 00:00,17517.0000000000
2016-05-14 00:00,16368.0000000000
2016-05-15 00:00,16235.0000000000
2016-05-16 00:00,17387.0000000000
2016-05-17 00:00,20444.0000000000
2016-05-18 00:00,19902.0000000000
2016-05-19 00:00,20030.0000000000
2016-05-20 00:00,19182.0000000000
2016-05-21 00:00,16194.0000000000
2016-05-22 00:00,18489.0000000000
2016-05-23 00:00,17629.0000000000
2016-05-24 00:00,18637.0000000000
2016-05-25 00:00,24810.0000000000
2016-05-26 00:00,20485.0000000000
2016-05-27 00:00,32241.0000000000
2016-05-28 00:00,20346.0000000000
2016-05-29 00:00,18458.0000000000
2016-05-30 00:00,19109.0000000000
2016-05-31 00:00,18371.0000000000
2016-06-01 00:00,17988.0000000000
2016-06-02 00:00,17359.0000000000
2016-06-03 00:00,17050.0000000000
2016-06-04 00:00,16999.0000000000
2016-06-05 00:00,18307.0000000000
2016-06-06 00:00,22012.0000000000
2016-06-07 00:00,18906.0000000000
2016-06-08 00:00,18246.0000000000
2016-06-09 00:00,19034.0000000000
2016-06-10 00:00,16210.0000000000
2016-06-11 00:00,19763.0000000000
2016-06-12 00:00,22878.0000000000
2016-06-13 00:00,23221.0000000000
2016-06-14 00:00,20355.0000000000
2016-06-15 00:00,20851.0000000000
2016-06-16 00:00,36192.0000000000
2016-06-17 00:00,35671.0000000000
2016-06-18 00:00,24898.0000000000
2016-06-19 00:00,24052.0000000000
2016-06-20 00:00,23564.0000000000
2016-06-21 00:00,25497.0000000000
2016-06-22 00:00,20737.0000000000
2016-06-23 00:00,21660.0000000000
2016-06-24 00:00,18664.0000000000
2016-06-25 00:00,22384.0000000000
2016-06-26 00:00,19734.0000000000
2016-06-27 00:00,21670.0000000000
2016-06-28 00:00,20372.0000000000
2016-06-29 00:00,19877.0000000000
2016-06-30 00:00,20103.0000000000
2016-07-01 00:00,19842.0000000000
2016-07-02 00:00,20137.0000000000
2016-07-03 00:00,20670.0000000000
2016-07-04 00:00,21102.0000000000
2016-07-05 00:00,19976.0000000000
2016-07-06 00:00,20164.0000000000
2016-07-07 00:00,20991.0000000000
2016-07-08 00:00,21379.0000000000
2016-07-09 00:00,20383.0000000000
2016-07-10 00:00,19575.0000000000
2016-07-11 00:00,21220.0000000000
2016-07-12 00:00,18114.0000000000
2016-07-13 00:00,21022.0000000000
2016-07-14 00:00,21187.0000000000
2016-07-15 00:00,19764.0000000000
2016-07-16 00:00,16545.0000000000
2016-07-17 00:00,20137.0000000000
2016-07-18 00:00,26774.0000000000
2016-07-19 00:00,25476.0000000000
2016-07-20 00:00,22556.0000000000
2016-07-21 00:00,24749.0000000000
2016-07-22 00:00,22662.0000000000
2016-07-23 00:00,27114.0000000000
2016-07-24 00:00,25353.0000000000
2016-07-25 00:00,30263.0000000000
2016-07-26 00:00,28959.0000000000
2016-07-27 00:00,24490.0000000000
2016-07-28 00:00,23565.0000000000
2016-07-29 00:00,20605.0000000000
2016-07-30 00:00,21411.0000000000
2016-07-31 00:00,21789.0000000000
2016-08-01 00:00,20387.0000000000
2016-08-02 00:00,22812.0000000000
2016-08-03 00:00,21918.0000000000
2016-08-04 00:00,20775.0000000000
2016-08-05 00:00,19492.0000000000
2016-08-06 00:00,20107.0000000000
2016-08-07 00:00,20447.0000000000
2016-08-08 00:00,22870.0000000000
2016-08-09 00:00,21211.0000000000
2016-08-10 00:00,22562.0000000000
2016-08-11 00:00,20118.0000000000
2016-08-12 00:00,19468.0000000000
2016-08-13 00:00,19446.0000000000
2016-08-14 00:00,19907.0000000000
2016-08-15 00:00,20902.0000000000
2016-08-16 00:00,20055.0000000000
2016-08-17 00:00,19708.0000000000
2016-08-18 00:00,20033.0000000000
2016-08-19 00:00,19646.0000000000
2016-08-20 00:00,20206.0000000000
2016-08-21 00:00,20076.0000000000
2016-08-22 00:00,22051.0000000000
2016-08-23 00:00,20002.0000000000
2016-08-24 00:00,21408.0000000000
2016-08-25 00:00,19920.0000000000
2016-08-26 00:00,19832.0000000000
2016-08-27 00:00,20195.0000000000
2016-08-28 00:00,21124.0000000000
2016-08-29 00:00,20281.0000000000
2016-08-30 00:00,21846.0000000000
2016-08-31 00:00,22219.0000000000
2016-09-01 00:00,22724.0000000000
2016-09-02 00:00,20211.0000000000
2016-09-03 00:00,20969.0000000000
2016-09-04 00:00,20445.0000000000
2016-09-05 00:00,21080.0000000000
2016-09-06 00:00,19809.0000000000
2016-09-07 00:00,22687.0000000000
2016-09-08 00:00,20888.0000000000
2016-09-09 00:00,20368.0000000000
2016-09-10 00:00,20737.0000000000
2016-09-11 00:00,21977.0000000000
2016-09-12 00:00,20794.0000000000
2016-09-13 00:00,20539.0000000000
2016-09-14 00:00,21308.0000000000
2016-09-15 00:00,21607.0000000000
2016-09-16 00:00,21519.0000000000
2016-09-17 00:00,19690.0000000000
2016-09-18 00:00,21038.0000000000
